id,amount,applicable_type,base_code_id/id,base_sign,chart_template_id/id,include_base_amount,description,account_collected_id/id,parent_id/id,ref_base_code_id/id,ref_base_sign,account_paid_id/id,ref_tax_code_id/id,ref_tax_sign,sequence,tax_code_id/id,tax_sign,price_include,name,type,type_tax_use,child_depend
rrif_0_izvoz,0.0,True,pdv_code_o109,1.0,l10n_hr_chart_template_rrif,False, I.9. 0% osl. izvozne isporuke,kp_rrif_tk,,pdv_code_o109,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. izvozne isporuke,Percent,Sale,False
rrif_0_ostalo,0.0,True,pdv_code_o110,1.0,l10n_hr_chart_template_rrif,False,I.10. 0% ost. oslobođenja,kp_rrif_tk,,pdv_code_o110,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% ost. oslobođenja,Percent,Sale,False
rrif_0_sas_dobra_eu,0.0,True,pdv_code_o106,1.0,l10n_hr_chart_template_rrif,False,I.6. 0% osl. sast. i postav. dobara EU,kp_rrif_tk,,pdv_code_o106,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. sast. i postav. dobara EU,Percent,Sale,False
rrif_0_usluge_eu,0.0,True,pdv_code_o104,1.0,l10n_hr_chart_template_rrif,False, I.4. 0% osl. usluge EU,kp_rrif_tk,,pdv_code_o104,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. usluge EU,Percent,Sale,False
rrif_13_pdv_predujam,0.13,True,pdv_code_o202,1.0,l10n_hr_chart_template_rrif,False,II.2. 13% PDV predujam RH,kp_rrif240021,,pdv_code_o202,1.0,kp_rrif240021,pdv_code_p202,1.0,1,pdv_code_p202,1.0,False,13% PDV predujam RH,Percent,Sale,False
rrif_isporuke,0.25,True,pdv_code_o204,1.0,l10n_hr_chart_template_rrif,False,II.4. prim.isporuke u RH obrač. prim.,kp_rrif24011,,pdv_code_o204,1.0,kp_rrif24011,pdv_code_p204,1.0,100,pdv_code_p204,1.0,False,prim.isporuke u RH obrač. prim.,Percent,Sale,False
rrif_obv_pp_25,-0.25,True,,1.0,l10n_hr_chart_template_rrif,False,Obveza dobra EU 25%,kp_rrif24022,,,1.0,kp_rrif24022,pdv_code_p207,1.0,1,pdv_code_p207,1.0,False,Obveza dobra EU 25%,Percent,All,False
rrif_obv13_dobra_EU,-0.13,True,,1.0,l10n_hr_chart_template_rrif,False,Obveza dobra EU 13%,kp_rrif24021,,,1.0,kp_rrif24021,pdv_code_p206,1.0,1,pdv_code_p206,1.0,False,Obveza dobra EU 13%,Percent,All,False
rrif_obv5_dobra_EU,-0.05,True,,1.0,l10n_hr_chart_template_rrif,False,Obveza dobra EU 5%,kp_rrif24020,,,1.0,kp_rrif24020,pdv_code_p205,1.0,1,pdv_code_p205,1.0,False,Obveza dobra EU 5%,Percent,All,False
rrif_oslob_0_isporuka_dobara,0.0,True,pdv_code_o102,1.0,l10n_hr_chart_template_rrif,False,I.2. 0% osl. isporuk.dobara.drug.,kp_rrif_tk,,pdv_code_o102,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. isporuk.dobara.drug.,Percent,Sale,False
rrif_oslob_0_isporuka_eu,0.0,True,pdv_code_o103,1.0,l10n_hr_chart_template_rrif,False,I.3. 0% osl. isporuke dobara EU,kp_rrif_tk,,pdv_code_o103,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. isporuke dobara EU,Percent,Sale,False
rrif_oslob_0_prijevoz_sredstva,0.0,True,pdv_code_o107,1.0,l10n_hr_chart_template_rrif,False,I.7. 0% osl. isporuke novih prijevoz. sred.,kp_rrif_tk,,pdv_code_o107,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. isporuke novih prijevoz. sred.,Percent,Sale,False
rrif_oslob_0_stranci,0.0,True,pdv_code_o105,1.0,l10n_hr_chart_template_rrif,False,I.5. 0% osl. usluge stranci,kp_rrif_tk,,pdv_code_o105,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. usluge stranci,Percent,Sale,False
rrif_oslob_0_tuz,0.0,True,pdv_code_o108,1.0,l10n_hr_chart_template_rrif,False,I.8. 0% osl. tuzemne isporuke,kp_rrif_tk,,pdv_code_o108,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. tuzemne isporuke,Percent,Sale,False
rrif_pdv_13_dobra,0.13,True,pdv_code_o202,1.0,l10n_hr_chart_template_rrif,False,II.2. 13% PDV dobra RH,kp_rrif240011,,pdv_code_o202,1.0,kp_rrif240011,pdv_code_p202,1.0,100,pdv_code_p202,1.0,False,13% PDV dobra RH,Percent,Sale,False
rrif_pdv_25_dobra,0.25,True,pdv_code_o203,1.0,l10n_hr_chart_template_rrif,False,II.3. 25% PDV dobra RH,kp_rrif240012,,pdv_code_o203,1.0,kp_rrif240012,pdv_code_p203,1.0,10,pdv_code_p203,1.0,False, 25% PDV dobra RH,Percent,Sale,False
rrif_pdv_25_predujam,0.25,True,pdv_code_o203,1.0,l10n_hr_chart_template_rrif,False,II.3. 25% PDV predujam RH,kp_rrif240022,,pdv_code_o203,1.0,kp_rrif240022,pdv_code_p203,1.0,100,pdv_code_p203,1.0,False,25% PDV predujam RH,Percent,Sale,False
rrif_pdv_5_dobra,0.05,True,pdv_code_o201,1.0,l10n_hr_chart_template_rrif,False, II.1. 5% PDV dobra u RH,kp_rrif240010,,pdv_code_o201,1.0,kp_rrif240010,pdv_code_p201,1.0,100,pdv_code_p201,1.0,False,5% PDV dobra RH,Percent,Sale,False
rrif_pdv_5_usluge,0.05,True,pdv_code_o201,1.0,l10n_hr_chart_template_rrif,False,II.1. 5% PDV usluge HR,kp_rrif240010,,pdv_code_o201,1.0,kp_rrif240010,pdv_code_p201,1.0,100,pdv_code_p201,1.0,False,5% PDV usluge HR,Percent,Sale,False
rrif_pdv_nezar_isp_13,0.13,True,pdv_code_o202,1.0,l10n_hr_chart_template_rrif,False,II.2. 13% PDV za nezaračunane isp.,kp_rrif240031,,pdv_code_o202,1.0,kp_rrif240031,pdv_code_p202,1.0,1,pdv_code_p202,1.0,False,13% PDV za nezaračunane isp.,Percent,Sale,False
rrif_pdv_nezar_isp_25,0.25,True,pdv_code_o203,1.0,l10n_hr_chart_template_rrif,False,II.3. PDV po nezaračunanim isporukama 25%,kp_rrif240032,,pdv_code_o203,1.0,kp_rrif240032,pdv_code_p203,1.0,100,pdv_code_p203,1.0,False,25% PDV za nezaračunane isp.,Percent,Sale,False
rrif_pdv_nezarac_5,0.05,True,pdv_code_o201,1.0,l10n_hr_chart_template_rrif,False,II.1. PDV po nezaračunanim isporukama 5%,kp_rrif24030,,pdv_code_o201,1.0,kp_rrif24030,pdv_code_p201,1.0,100,pdv_code_p201,1.0,False,5% PDV za nezaračunane isp. ,Percent,Sale,False
rrif_pdv_uvoz,0.0,True,pdv_code_o215,1.0,l10n_hr_chart_template_rrif,False,II.15. Obrač.PDV uvoz,kp_rrif2405,,pdv_code_o215,1.0,kp_rrif2405,pdv_code_p201,1.0,100,pdv_code_p201,1.0,False,Obrač.PDV uvoz,Percent,Sale,False
rrif_pdv5__predujam,0.05,True,pdv_code_o201,1.0,l10n_hr_chart_template_rrif,False,II.1. 5% PDV predujam RH,kp_rrif240020,,pdv_code_o201,1.0,kp_rrif240020,pdv_code_p201,1.0,1,pdv_code_p201,1.0,False,5% PDV predujam RH,Percent,Sale,False
rrif_pp_25,0.25,True,pdv_code_o303,1.0,l10n_hr_chart_template_rrif,False,III.3. Pretporez dobra i usluge 25%,kp_rrif140012,,pdv_code_o303,1.0,kp_rrif140012,pdv_code_p303,1.0,10,pdv_code_p303,1.0,False,Pretporez dobra i usluge 25%,Percent,Purchase,False
rrif_pp_ino_13,0.13,True,pdv_code_o312,1.0,l10n_hr_chart_template_rrif,False,Plaćeni PDV 13% na usluge inozemnih poduzetnika,kp_rrif14051,,pdv_code_o312,1.0,kp_rrif14051,pdv_code_p312,1.0,100,pdv_code_p312,1.0,False,13% ino. usluge,Percent,Purchase,False
rrif_pp_R2_25,0.25,True,pdv_code_nepriznat_opp25,1.0,l10n_hr_chart_template_rrif,False,25% R-2 dobavljač,kp_rrif14080,,pdv_code_nepriznat_opp25,1.0,kp_rrif14080,pdv_code_nepriznat_ppp25,1.0,100,pdv_code_nepriznat_ppp25,1.0,False,25% R-2 dobavljač,Percent,Purchase,False
rrif_pp_uvoz_25,0.25,True,pdv_code_o313,1.0,l10n_hr_chart_template_rrif,False,Plaćeni PDV 25% pri uvozu dobara,kp_rrif14052,,pdv_code_o313,1.0,kp_rrif14052,pdv_code_p311,1.0,100,pdv_code_p311,1.0,False,25% uvoz dobara,Percent,Purchase,False
rrif_pp_uvoz_samopdv_25,0.25,True,pdv_code_nepriznat_opp25,-1.0,l10n_hr_chart_template_rrif,False,Samo PDV kod uvoza 25%,,,pdv_code_nepriznat_opp25,-1.0,,pdv_code_nepriznat_ppp25,-1.0,100,pdv_code_nepriznat_ppp25,-1.0,False,Samo PDV kod uvoza 25%,Percent,Purchase,False
rrif_pp_uvoz_samopdv_25usl,0.25,True,pdv_code_nepriznat_opp25,-1.0,l10n_hr_chart_template_rrif,False,Samo PDV kod uvoza 25% usluge,,,pdv_code_nepriznat_opp25,-1.0,,pdv_code_nepriznat_ppp25,-1.0,100,pdv_code_nepriznat_ppp25,-1.0,False,Samo PDV kod uvoza 25% usluge,Percent,Purchase,False
rrif_pp0_30n_70p,1.0,True,,1.0,l10n_hr_chart_template_rrif,False,pp0 30% Nepriznat 70% Priznat,,,,1.0,,,1.0,1,,1.0,False,pp0 30% Nepriznat 70% Priznat,Percent,Purchase,False
rrif_pp13,0.13,True,pdv_code_o302,1.0,l10n_hr_chart_template_rrif,False,III.2. Pretporez dobra i usluge 13%,kp_rrif140011,,pdv_code_o302,1.0,kp_rrif140011,pdv_code_p302,1.0,100,pdv_code_p302,1.0,False,Pretporez dobra i usluge 13%,Percent,Purchase,False
rrif_pp13_30n_70p,1.0,True,,1.0,l10n_hr_chart_template_rrif,False,pp13 30% Nepriznat 70% Priznat ,,,,1.0,,,1.0,1,,1.0,False,pp13 30% Nepriznat 70% Priznat ,Percent,Purchase,False
rrif_pp13_70n_30p,1.0,True,,1.0,l10n_hr_chart_template_rrif,False,pp13 70% Nepriznat 30% Priznat,,,,1.0,,,1.0,1,,1.0,False,pp13 70% Nepriznat 30% Priznat,Percent,Purchase,False
rrif_pp13_pdv_usluge,0.13,True,pdv_code_o202,1.0,l10n_hr_chart_template_rrif,False, II.2. 13% PDV usluge u RH,kp_rrif240011,,pdv_code_o202,1.0,kp_rrif240011,pdv_code_p202,1.0,1,pdv_code_p202,1.0,False,13% PDV usluge u RH,Percent,Sale,False
rrif_pp25_30n_70p,1.0,True,,1.0,l10n_hr_chart_template_rrif,False,pp25 30% Nepriznat 70% Priznat ,,,,1.0,,,1.0,1,,1.0,False,pp25 30% Nepriznat 70% Priznat ,Percent,Purchase,False
rrif_pp25_70n_30p,1.0,True,,1.0,l10n_hr_chart_template_rrif,False,pp25 70% Nepriznat 30% Priznat,,,,1.0,,,1.0,1,,1.0,False,pp25 70% Nepriznat 30% Priznat,Percent,Purchase,False
rrif_pp25_70n_30p,1.0,True,,1.0,l10n_hr_chart_template_rrif,False,pp0 70% Nepriznat 30% Priznat,,,,1.0,,,1.0,1,,1.0,False,pp0 70% Nepriznat 30% Priznat,Percent,Purchase,False
rrif_pp25_obveza_usluge_eu,-0.25,True,,1.0,l10n_hr_chart_template_rrif,False,Obveza usluge EU 25%,kp_rrif24032,,,1.0,kp_rrif24032,pdv_code_p210,1.0,1,pdv_code_p210,1.0,False,Obveza usluge EU 25%,Percent,All,False
rrif_pp5,0.05,True,pdv_code_o301,1.0,l10n_hr_chart_template_rrif,False,III.1. Pretporez dobra i usluge 5%,kp_rrif140010,,pdv_code_o301,1.0,kp_rrif140010,pdv_code_p301,1.0,100,pdv_code_p301,1.0,False,Pretporez dobra i usluge 5%,Percent,Purchase,False
rrif_pp5_30n_70p,1.0,True,,1.0,l10n_hr_chart_template_rrif,False,pp5 30% Nepriznat 70% Priznat,,,,1.0,,,1.0,1,,1.0,False,pp5 30% Nepriznat 70% Priznat,Percent,Purchase,False
rrif_pp5_70n_30p,1.0,True,,1.0,l10n_hr_chart_template_rrif,False,pp5 70% Nepriznat 30% Priznat,,,,1.0,,,1.0,1,,1.0,False,pp5 70% Nepriznat 30% Priznat ,Percent,Purchase,False
rrif_ppo_13_dobra_eu,1.0,True,pdv_code_o306,1.0,l10n_hr_chart_template_rrif,False,III.6. Prijenos porezne obveze- 13% (dobra EU),,,pdv_code_o306,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze- 13% (dobra EU),Percent,Purchase,False
rrif_ppo_5_dobra_eu,1.0,True,pdv_code_o305,1.0,l10n_hr_chart_template_rrif,False,III.5. Prijenos porezne obveze- 5% (dobra EU),,,pdv_code_o305,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze- 5% (dobra EU),Percent,Purchase,True
rrif_ppo_5_stranci,1.0,True,pdv_code_o311,1.0,l10n_hr_chart_template_rrif,False,III.11. Prijenos porezne obveze- 5% (stranci),,,pdv_code_o311,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze- 5% (stranci),Percent,Purchase,True
rrif_ppo_5_usluge_eu,1.0,True,pdv_code_o308,1.0,l10n_hr_chart_template_rrif,False,III.8. Prijenos porezne obveze- obveza 5% (usluge EU),,,pdv_code_o308,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze-  5% (usluge EU),Percent,Purchase,True
rrif_pret_13_eu,0.13,True,,1.0,l10n_hr_chart_template_rrif,False,Pretporez dobra EU 13%,kp_rrif14021,,,1.0,kp_rrif14021,pdv_code_p306,1.0,1,pdv_code_p306,1.0,False,Pretporez dobra EU 13%,Percent,Purchase,False
rrif_pret_13_predujam,0.13,True,pdv_code_o302,1.0,l10n_hr_chart_template_rrif,False,III.2. Pretporez predujam13%,kp_rrif140021,,pdv_code_o302,1.0,kp_rrif140021,pdv_code_p302,1.0,100,pdv_code_p302,1.0,False,Pretporez predujam 13%,Percent,Purchase,False
rrif_pret_13_uvoz,0.13,True,pdv_code_o314,1.0,l10n_hr_chart_template_rrif,False,III.14. Pretporez pri uvozu 13%,kp_rrif14051,,pdv_code_o314,1.0,kp_rrif14051,pdv_code_p314,1.0,100,pdv_code_p314,1.0,False,Pretporez pri uvozu 13%,Percent,Purchase,False
rrif_pret_25_predujam,0.25,True,pdv_code_o303,1.0,l10n_hr_chart_template_rrif,False, III.3. Pretporez predujam 25%,kp_rrif140022,,pdv_code_o303,1.0,kp_rrif140022,pdv_code_p303,1.0,100,pdv_code_p303,1.0,False,Pretporez predujam 25%,Percent,Purchase,False
rrif_pret_5_predujam,0.05,True,pdv_code_o301,1.0,l10n_hr_chart_template_rrif,False,III.1. Pretporez predujam 5%,kp_rrif140020,,pdv_code_o301,1.0,kp_rrif140020,pdv_code_p301,1.0,100,pdv_code_p301,1.0,False,Pretporez predujam 5%,Percent,Purchase,False
