"id","base_code_id","tax_code_id","position","base_code_tax_koef"
"pdv_obrazac_1","o1+2",,"Redak 1","1.0"
"pdv_obrazac_2","o100",,"Redak 2","1.0"
"pdv_obrazac_3","o110",,"Redak 3","1.0"
"pdv_obrazac_4","o120",,"Redak 4","1.0"
"pdv_obrazac_5","o121",,"Redak 5","1.0"
"pdv_obrazac_6","o122",,"Redak 6","1.0"
"pdv_obrazac_7","o123",,"Redak 7","1.0"
"pdv_obrazac_8","o124",,"Redak 8","1.0"
"pdv_obrazac_9","o130",,"Redak 9","1.0"
"pdv_obrazac_10","o200","p200","Redak 10","1.0"
"pdv_obrazac_11","p210","p210","Redak 11","1.1"
"pdv_obrazac_12","p220","p220","Redak 12","1.23"
"pdv_obrazac_13","p230","p230","Redak 13","1.25"
"pdv_obrazac_14","o240","p240","Redak 14","1.0"
"pdv_obrazac_15","o300","p300","Redak 15","1.0"
"pdv_obrazac_16","p310","p310","Redak 16","1.1"
"pdv_obrazac_17","p320","p320","Redak 17","1.23"
"pdv_obrazac_18","p330","p330","Redak 18","1.25"
"pdv_obrazac_19","p340","p340","Redak 19","1.25"
"pdv_obrazac_20","p350","p350","Redak 20","1.1"
"pdv_obrazac_21","p360","p360","Redak 21","1.23"
"pdv_obrazac_22","p370","p370","Redak 22","1.25"
