"Company/Company Name","Osnovica/Tax Case Name","Porez/Tax Case Name","Pozicija","Stopa"
"Verso HR","Obračun isporuka (I+II)",,"Redak 1","1.0"
"Verso HR","I. Isporuke ne podliježu / oslobođene",,"Redak 2","1.0"
"Verso HR","I.1. Koje ne podliježu oporezivanju",,"Redak 3","1.0"
"Verso HR","I.2. Oslobođene ukupno",,"Redak 4","1.0"
"Verso HR","I.2.1. Izvozne",,"Redak 5","1.0"
"Verso HR","I.2.2. Isporuke dobara",,"Redak 6","1.0"
"Verso HR","I.2.3. Tuzemne  - bez prava odbitka",,"Redak 7","1.0"
"Verso HR","I.2.4. Ostale – s pravom odbitka",,"Redak 8","1.0"
"Verso HR","I.3. Isporuke po stopi od 0%",,"Redak 9","1.0"
"Verso HR","II. Oporezive isporuke","II. Oporezive isporuke","Redak 10","1.0"
"Verso HR","II.1 Izdani računi po stopi 10%","II.1 Izdani računi po stopi 10%","Redak 11","1.1"
"Verso HR","II.2 Izdani računi po stopi 22% i 23%","II.2 Izdani računi po stopi 22% i 23%","Redak 12","1.23"
"Verso HR","II.3 Izdani računi po stopi 25%","II.3 Izdani računi po stopi 25%","Redak 13","1.25"
"Verso HR","II.4 Nenaplaćeni izvoz","II.4 Nenaplaćeni izvoz","Redak 14","1.0"
"Verso HR","III. OBRAČUNANI PRETPOREZ","III. OBRAČUNANI PRETPOREZ","Redak 15","1.0"
"Verso HR","III.1. Pretporez 10%","III.1. Pretporez 10%","Redak 16","1.1"
"Verso HR","III.2. Pretporez 22% i23%","III.2. Pretporez 22% i 23%","Redak 17","1.23"
"Verso HR","III.3. Pretporez 25%","III.3. Pretporez 25%","Redak 18","1.25"
"Verso HR","III.4. Plaćeni PP pri uvozu","III.4. Plaćeni PP pri uvozu","Redak 19","1.25"
"Verso HR","III.5. Plaćeni PP na ino usluge 10%","III.5. Plaćeni PP na ino usluge 10%","Redak 20","1.1"
"Verso HR","III.6. Plaćeni PP na ino usluge 22% i 23%","III.6. Plaćeni PP na ino usluge 22% i 23%","Redak 21","1.23"
"Verso HR","III.7. Plaćeni PP na ino usluge 25%","III.7. Plaćeni PP na ino usluge 25%","Redak 22","1.25"
