id,parent_id/id,name,note,user_type/id,type,code,reconcile,shortcut
kp_rrif,,KONTNI PLAN,KONTNI PLAN,account.data_account_type_view,view,RRIF,True,RRIF
kp_rrif0,kp_rrif,POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA,POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA,account.data_account_type_view,view,0,True,0
kp_rrif1,kp_rrif,"NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA POTRAŽIVANJA TE TROŠKOVI I PRIHODI BUDUĆEG RAZDOBLJA","NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA POTRAŽIVANJA TE TROŠKOVI I PRIHODI BUDUĆEG RAZDOBLJA",account.data_account_type_view,view,1,True,1
kp_rrif2,kp_rrif,"KRATKOROČNE I DUGOROČNE OBVEZE, DUGOROČNA REZERVIRANJA, ODGOĐENA PLAĆANJA I PRIHODI BUDUĆEG RAZDOBLJA","KRATKOROČNE I DUGOROČNE OBVEZE, DUGOROČNA REZERVIRANJA, ODGOĐENA PLAĆANJA I PRIHODI BUDUĆEG RAZDOBLJA",account.data_account_type_view,view,2,True,2
kp_rrif3,kp_rrif,"ZALIHE SIROVINA I MATERIJALA, REZERVNIH DIJELOVA I SITNOG INVENTARA","ZALIHE SIROVINA I MATERIJALA, REZERVNIH DIJELOVA I SITNOG INVENTARA",account.data_account_type_view,view,3,True,3
kp_rrif4,kp_rrif,"TROŠKOVI PREMA VRSTAMA, FINANCIJSKI I OSTALI RASHODI","TROŠKOVI PREMA VRSTAMA, FINANCIJSKI I OSTALI RASHODI",account.data_account_type_view,view,4,True,4
kp_rrif6,kp_rrif,"PROIZVODNJA, BIOLOŠKA IMOVINA, GOTOVI PROIZVODI, ROBA I DUGOTRAJNA IMOVINA NAMIJENJENA PRODAJI","PROIZVODNJA, BIOLOŠKA IMOVINA, GOTOVI PROIZVODI, ROBA I DUGOTRAJNA IMOVINA NAMIJENJENA PRODAJI",account.data_account_type_view,view,6,True,6
kp_rrif7,kp_rrif,POKRIĆE RASHODA I PRIHODI RAZDOBLJA,POKRIĆE RASHODA I PRIHODI RAZDOBLJA,account.data_account_type_view,view,7,True,7
kp_rrif8,kp_rrif,FINANCIJSKI REZULTAT IZ POSLOVANJA,FINANCIJSKI REZULTAT IZ POSLOVANJA,account.data_account_type_view,view,8,True,8
kp_rrif9,kp_rrif,KAPITAL I PRIČUVE TE IZVANBILANČNI ZAPISI,KAPITAL I PRIČUVE TE IZVANBILANČNI ZAPISI,account.data_account_type_view,view,9,True,9
kp_rrif00,kp_rrif0,POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL,POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL,account.data_account_type_view,view,00,True,00
kp_rrif01,kp_rrif0,NEMATERIJALNA IMOVINA,NEMATERIJALNA IMOVINA,account.data_account_type_view,view,01,True,01
kp_rrif02,kp_rrif0,MATERIJALNA IMOVINA - NEKRETNINE,MATERIJALNA IMOVINA - NEKRETNINE,account.data_account_type_view,view,02,True,02
kp_rrif03,kp_rrif0,"POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA",account.data_account_type_view,view,03,True,03
kp_rrif04,kp_rrif0,BIOLOŠKA IMOVINA,BIOLOŠKA IMOVINA,account.data_account_type_view,view,04,True,04
kp_rrif05,kp_rrif0,ULAGANJA U NEKRETNINE,ULAGANJA U NEKRETNINE,account.data_account_type_view,view,05,True,05
kp_rrif06,kp_rrif0,DUGOTRAJNA FINANCIJSKA IMOVINA (s povratom dužim od jedne godine),DUGOTRAJNA FINANCIJSKA IMOVINA (s povratom dužim od jedne godine),account.data_account_type_view,view,06,True,06
kp_rrif07,kp_rrif0,POTRAŽIVANJA (dulja od jedne godine),POTRAŽIVANJA (dulja od jedne godine),account.data_account_type_view,view,07,True,07
kp_rrif08,kp_rrif0,ODGOĐENA POREZNA IMOVINA,ODGOĐENA POREZNA IMOVINA,account.data_account_type_view,view,08,True,08
kp_rrif000,kp_rrif00,Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima),Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima),account.data_account_type_view,view,000,True,000
kp_rrif001,kp_rrif00,Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala (razrada po emisijama dionica),Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala (razrada po emisijama dionica),account.data_account_type_view,view,001,True,001
kp_rrif002,kp_rrif00,Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva),Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva),account.data_account_type_view,view,002,True,002
