"id","code","name"
"l10n_hr_nkd_0111","0111","Uzgoj žitarica (osim riže), mahunarki i uljanog sjemenja"
"l10n_hr_nkd_0112","0112","Uzgoj riže"
"l10n_hr_nkd_0113","0113","Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća"
"l10n_hr_nkd_0114","0114","Uzgoj šećerne trske"
"l10n_hr_nkd_0115","0115","Uzgoj duhana"
"l10n_hr_nkd_0116","0116","Uzgoj predivog bilja "
"l10n_hr_nkd_0119","0119","Uzgoj ostalih jednogodišnjih usjeva "
"l10n_hr_nkd_0121","0121","Uzgoj grožđa "
"l10n_hr_nkd_0122","0122","Uzgoj tropskog i suptropskog voća"
"l10n_hr_nkd_0123","0123","Uzgoj agruma"
"l10n_hr_nkd_0124","0124","Uzgoj jezgričavog i koštuničavog voća"
"l10n_hr_nkd_0125","0125","Uzgoj bobičastog, orašastog i ostalog voća "
"l10n_hr_nkd_0126","0126","Uzgoj uljanih plodova"
"l10n_hr_nkd_0127","0127","Uzgoj usjeva za pripremanje napitaka"
"l10n_hr_nkd_0128","0128","Uzgoj bilja za uporabu u farmaciji, aromatskog, začinskog i ljekovitog bilja "
"l10n_hr_nkd_0129","0129","Uzgoj ostalih višegodišnjih usjeva "
"l10n_hr_nkd_0130","0130","Uzgoj sadnog materijala i ukrasnog bilja"
"l10n_hr_nkd_0141","0141","Uzgoj muznih krava"
"l10n_hr_nkd_0142","0142","Uzgoj ostalih goveda i bivola"
"l10n_hr_nkd_0143","0143","Uzgoj konja, magaraca, mula i mazgi"
"l10n_hr_nkd_0144","0144","Uzgoj deva i ljama"
"l10n_hr_nkd_0145","0145","Uzgoj ovaca i koza"
"l10n_hr_nkd_0146","0146","Uzgoj svinja"
"l10n_hr_nkd_0147","0147","Uzgoj peradi"
"l10n_hr_nkd_0149","0149","Uzgoj ostalih životinja"
"l10n_hr_nkd_0150","0150","Mješovita proizvodnja"
"l10n_hr_nkd_0161","0161","Pomoćne djelatnosti za uzgoj usjeva"
"l10n_hr_nkd_0162","0162","Pomoćne djelatnosti za uzgoj životinja"
"l10n_hr_nkd_0163","0163","Djelatnosti koje se obavljaju nakon žetve usjeva (priprema usjeva za primarna tržišta)"
"l10n_hr_nkd_0164","0164","Dorada sjemena za sjemenski materijal"
"l10n_hr_nkd_0170","0170","Lov, stupičarenje i uslužne djelatnosti povezane s njima"
"l10n_hr_nkd_0210","0210","Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime"
"l10n_hr_nkd_0220","0220","Sječa drva "
"l10n_hr_nkd_0230","0230","Skupljanje šumskih plodova i proizvoda, osim šumskih sortimenata"
"l10n_hr_nkd_0240","0240","Pomoćne usluge u šumarstvu"
"l10n_hr_nkd_0311","0311","Morski ribolov"
"l10n_hr_nkd_0312","0312","Slatkovodni ribolov"
"l10n_hr_nkd_0321","0321","Morska akvakultura"
"l10n_hr_nkd_0322","0322","Slatkovodna akvakultura"
"l10n_hr_nkd_0510","0510","Vađenje kamenog ugljena"
"l10n_hr_nkd_0520","0520","Vađenje lignita"
"l10n_hr_nkd_0610","0610","Vađenje sirove nafte "
"l10n_hr_nkd_0620","0620","Vađenje prirodnog plina"
"l10n_hr_nkd_0710","0710","Vađenje željeznih ruda"
"l10n_hr_nkd_0721","0721","Vađenje uranovih i torijevih ruda"
"l10n_hr_nkd_0729","0729","Vađenje ostalih ruda obojenih metala"
"l10n_hr_nkd_0811","0811","Vađenje ukrasnoga kamena i kamena za gradnju, vapnenca, gipsa, krede i škriljevca"
"l10n_hr_nkd_0812","0812","Djelatnosti šljunčara i pješčara; vađenje gline i kaolina"
"l10n_hr_nkd_0891","0891","Vađenje minerala za kemikalije i gnojiva"
"l10n_hr_nkd_0892","0892","Vađenje treseta"
"l10n_hr_nkd_0893","0893","Vađenje soli"
"l10n_hr_nkd_0899","0899","Vađenje ostalih ruda i kamena, d. n."
"l10n_hr_nkd_0910","0910","Pomoćne djelatnosti za vađenje nafte i prirodnog plina"
"l10n_hr_nkd_0990","0990","Pomoćne djelatnosti za ostalo rudarstvo i vađenje"
"l10n_hr_nkd_1011","1011","Prerada i konzerviranje mesa"
"l10n_hr_nkd_1012","1012","Prerada i konzerviranje mesa peradi"
"l10n_hr_nkd_1013","1013","Proizvodnja proizvoda od mesa i mesa peradi"
"l10n_hr_nkd_1020","1020","Prerada i konzerviranje riba, rakova i školjki "
"l10n_hr_nkd_1031","1031","Prerada i konzerviranje krumpira"
"l10n_hr_nkd_1032","1032","Proizvodnja sokova od voća i povrća"
"l10n_hr_nkd_1039","1039","Ostala prerada i konzerviranje voća i povrća"
"l10n_hr_nkd_1041","1041","Proizvodnja ulja i masti"
"l10n_hr_nkd_1042","1042","Proizvodnja margarina i sličnih jestivih masti"
"l10n_hr_nkd_1051","1051","Djelatnosti mljekara i proizvođača sira"
"l10n_hr_nkd_1052","1052","Proizvodnja sladoleda"
"l10n_hr_nkd_1061","1061","Proizvodnja mlinskih proizvoda"
"l10n_hr_nkd_1062","1062","Proizvodnja škroba i škrobnih proizvoda"
"l10n_hr_nkd_1071","1071","Proizvodnja kruha; proizvodnja svježih peciva, slastičarskih proizvoda i kolača"
"l10n_hr_nkd_1072","1072","Proizvodnja dvopeka, keksa i srodnih proizvoda; proizvodnja trajnih peciva, slastičarskih proizvoda i kolača"
"l10n_hr_nkd_1073","1073","Proizvodnja makarona, njoka, kuskusa i slične tjestenine"
"l10n_hr_nkd_1081","1081","Proizvodnja šećera"
"l10n_hr_nkd_1082","1082","Proizvodnja kakao, čokoladnih i bombonskih proizvoda"
"l10n_hr_nkd_1083","1083","Prerada čaja i kave"
"l10n_hr_nkd_1084","1084","Proizvodnja začina i drugih dodataka hrani"
"l10n_hr_nkd_1085","1085","Proizvodnja gotove hrane i jela"
"l10n_hr_nkd_1086","1086","Proizvodnja homogeniziranih prehrambenih pripravaka i dijetetske hrane"
"l10n_hr_nkd_1089","1089","Proizvodnja ostalih prehrambenih proizvoda, d. n. "
"l10n_hr_nkd_1091","1091","Proizvodnja pripremljene stočne hrane"
"l10n_hr_nkd_1092","1092","Proizvodnja pripremljene hrane za kućne ljubimce"
"l10n_hr_nkd_1101","1101","Destiliranje, pročišćavanje i miješanje alkoholnih pića"
"l10n_hr_nkd_1102","1102","Proizvodnja vina od grožđa"
"l10n_hr_nkd_1103","1103","Proizvodnja jabukovače i ostalih voćnih vina"
"l10n_hr_nkd_1104","1104","Proizvodnja ostalih nedestiliranih fermentiranih pića"
"l10n_hr_nkd_1105","1105","Proizvodnja piva"
"l10n_hr_nkd_1106","1106","Proizvodnja slada"
"l10n_hr_nkd_1107","1107","Proizvodnja osvježavajućih napitaka; proizvodnja mineralne i drugih flaširanih voda"
"l10n_hr_nkd_1200","1200","Proizvodnja duhanskih proizvoda"
"l10n_hr_nkd_1310","1310","Priprema i predenje tekstilnih vlakana"
"l10n_hr_nkd_1320","1320","Tkanje tekstila"
"l10n_hr_nkd_1330","1330","Dovršavanje tekstila"
"l10n_hr_nkd_1391","1391","Proizvodnja pletenih i kukičanih tkanina"
"l10n_hr_nkd_1392","1392","Proizvodnja gotovih tekstilnih proizvoda, osim odjeće"
"l10n_hr_nkd_1393","1393","Proizvodnja tepiha i sagova "
"l10n_hr_nkd_1394","1394","Proizvodnja užadi, konopaca, upletenoga konca i mreža"
"l10n_hr_nkd_1395","1395","Proizvodnja netkanog tekstila i proizvoda od netkanog tekstila, osim odjeće"
"l10n_hr_nkd_1396","1396","Proizvodnja ostaloga tehničkog i industrijskog tekstila"
"l10n_hr_nkd_1399","1399","Proizvodnja ostalog tekstila, d. n."
"l10n_hr_nkd_1411","1411","Proizvodnja kožne odjeće"
"l10n_hr_nkd_1412","1412","Proizvodnja radne odjeće "
"l10n_hr_nkd_1413","1413","Proizvodnja ostale vanjske odjeće"
"l10n_hr_nkd_1414","1414","Proizvodnja rublja"
"l10n_hr_nkd_1419","1419","Proizvodnja ostale odjeće i pribora za odjeću "
"l10n_hr_nkd_1420","1420","Proizvodnja proizvoda od krzna"
"l10n_hr_nkd_1431","1431","Proizvodnja pletenih i kukičanih čarapa"
"l10n_hr_nkd_1439","1439","Proizvodnja ostale pletene i kukičane odjeće"
"l10n_hr_nkd_1511","1511","Štavljenje i obrada kože; dorada i bojenje krzna"
"l10n_hr_nkd_1512","1512","Proizvodnja putnih i ručnih torba i slično, sedlarskih i remenarskih proizvoda"
"l10n_hr_nkd_1520","1520","Proizvodnja obuće"
"l10n_hr_nkd_1610","1610","Piljenje i blanjanje drva"
"l10n_hr_nkd_1621","1621","Proizvodnja furnira i ostalih ploča od drva"
"l10n_hr_nkd_1622","1622","Proizvodnja sastavljenog parketa"
"l10n_hr_nkd_1623","1623","Proizvodnja ostale građevne stolarije i elemenata"
"l10n_hr_nkd_1624","1624","Proizvodnja ambalaže od drva"
"l10n_hr_nkd_1629","1629","Proizvodnja ostalih proizvoda od drva, proizvoda od pluta, slame i pletarskih materijala"
"l10n_hr_nkd_1711","1711","Proizvodnja celuloze"
"l10n_hr_nkd_1712","1712","Proizvodnja papira i kartona"
"l10n_hr_nkd_1721","1721","Proizvodnja valovitog papira i kartona te ambalaže od papira i kartona"
"l10n_hr_nkd_1722","1722","Proizvodnja robe za kućanstvo i higijenu te toaletnih potrepština od papira"
"l10n_hr_nkd_1723","1723","Proizvodnja uredskog materijala od papira"
"l10n_hr_nkd_1724","1724","Proizvodnja zidnih tapeta"
"l10n_hr_nkd_1729","1729","Proizvodnja ostalih proizvoda od papira i kartona"
"l10n_hr_nkd_1811","1811","Tiskanje novina"
"l10n_hr_nkd_1812","1812","Ostalo tiskanje "
"l10n_hr_nkd_1813","1813","Usluge pripreme za tisak i objavljivanje"
"l10n_hr_nkd_1814","1814","Knjigoveške i srodne usluge "
"l10n_hr_nkd_1820","1820","Umnožavanje snimljenih zapisa"
"l10n_hr_nkd_1910","1910","Proizvodnja proizvoda koksnih peći"
"l10n_hr_nkd_1920","1920","Proizvodnja rafiniranih naftnih proizvoda"
"l10n_hr_nkd_2011","2011","Proizvodnja industrijskih plinova"
"l10n_hr_nkd_2012","2012","Proizvodnja koloranata i pigmenata"
"l10n_hr_nkd_2013","2013","Proizvodnja ostalih anorganskih osnovnih kemikalija"
"l10n_hr_nkd_2014","2014","Proizvodnja ostalih organskih osnovnih kemikalija"
"l10n_hr_nkd_2015","2015","Proizvodnja gnojiva i dušičnih spojeva"
"l10n_hr_nkd_2016","2016","Proizvodnja plastike u primarnim oblicima"
"l10n_hr_nkd_2017","2017","Proizvodnja sintetičkoga kaučuka u primarnim oblicima"
"l10n_hr_nkd_2020","2020","Proizvodnja pesticida i drugih agrokemijskih proizvoda"
"l10n_hr_nkd_2030","2030","Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
"l10n_hr_nkd_2041","2041","Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje"
"l10n_hr_nkd_2042","2042","Proizvodnja parfema i toaletno-kozmetičkih preparata"
"l10n_hr_nkd_2051","2051","Proizvodnja eksploziva"
"l10n_hr_nkd_2052","2052","Proizvodnja ljepila "
"l10n_hr_nkd_2053","2053","Proizvodnja eteričnih ulja"
"l10n_hr_nkd_2059","2059","Proizvodnja ostalih kemijskih proizvoda, d. n. "
"l10n_hr_nkd_2060","2060","Proizvodnja umjetnih vlakana"
"l10n_hr_nkd_2110","2110","Proizvodnja osnovnih farmaceutskih proizvoda"
"l10n_hr_nkd_2120","2120","Proizvodnja farmaceutskih pripravaka"
"l10n_hr_nkd_2211","2211","Proizvodnja vanjskih i unutrašnjih guma za vozila; protektiranje vanjskih guma"
"l10n_hr_nkd_2219","2219","Proizvodnja ostalih proizvoda od gume"
"l10n_hr_nkd_2221","2221","Proizvodnja ploča, listova, cijevi i profila od plastike"
"l10n_hr_nkd_2222","2222","Proizvodnja ambalaže od plastike"
"l10n_hr_nkd_2223","2223","Proizvodnja proizvoda od plastike za građevinarstvo"
"l10n_hr_nkd_2229","2229","Proizvodnja ostalih proizvoda od plastike"
"l10n_hr_nkd_2311","2311","Proizvodnja ravnog stakla"
"l10n_hr_nkd_2312","2312","Oblikovanje i obrada ravnog stakla"
"l10n_hr_nkd_2313","2313","Proizvodnja šupljeg stakla"
"l10n_hr_nkd_2314","2314","Proizvodnja staklenih vlakana"
"l10n_hr_nkd_2319","2319","Proizvodnja i obrada ostalog stakla uključujući tehničku robu od stakla"
"l10n_hr_nkd_2320","2320","Proizvodnja vatrostalnih proizvoda"
"l10n_hr_nkd_2331","2331","Proizvodnja keramičkih pločica i ploča"
"l10n_hr_nkd_2332","2332","Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo"
"l10n_hr_nkd_2341","2341","Proizvodnja keramičkih proizvoda za kućanstvo i ukrasnih predmeta"
"l10n_hr_nkd_2342","2342","Proizvodnja sanitarne keramike "
"l10n_hr_nkd_2343","2343","Proizvodnja keramičkih izolatora i izolacijskog pribora"
"l10n_hr_nkd_2344","2344","Proizvodnja ostalih tehničkih proizvoda od keramike"
"l10n_hr_nkd_2349","2349","Proizvodnja ostalih proizvoda od keramike"
"l10n_hr_nkd_2351","2351","Proizvodnja cementa"
"l10n_hr_nkd_2352","2352","Proizvodnja vapna i gipsa "
"l10n_hr_nkd_2361","2361","Proizvodnja proizvoda od betona za građevinarstvo"
"l10n_hr_nkd_2362","2362","Proizvodnja proizvoda od gipsa za građevinarstvo"
"l10n_hr_nkd_2363","2363","Proizvodnja gotove betonske smjese"
"l10n_hr_nkd_2364","2364","Proizvodnja žbuke"
"l10n_hr_nkd_2365","2365","Proizvodnja fibro-cementa"
"l10n_hr_nkd_2369","2369","Proizvodnja ostalih proizvoda od betona, cementa i gipsa "
"l10n_hr_nkd_2370","2370","Rezanje, oblikovanje i obrada kamena"
"l10n_hr_nkd_2391","2391","Proizvodnja brusnih proizvoda"
"l10n_hr_nkd_2399","2399","Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n."
"l10n_hr_nkd_2410","2410","Proizvodnja sirovog željeza, čelika i ferolegura"
"l10n_hr_nkd_2420","2420","Proizvodnja čeličnih cijevi i pribora"
"l10n_hr_nkd_2431","2431","Hladno vučenje šipki"
"l10n_hr_nkd_2432","2432","Hladno valjanje uskih vrpci"
"l10n_hr_nkd_2433","2433","Hladno oblikovanje i profiliranje "
"l10n_hr_nkd_2434","2434","Hladno vučenje žice"
"l10n_hr_nkd_2441","2441","Proizvodnja plemenitih metala"
"l10n_hr_nkd_2442","2442","Proizvodnja aluminija"
"l10n_hr_nkd_2443","2443","Proizvodnja olova, cinka i kositra"
"l10n_hr_nkd_2444","2444","Proizvodnja bakra"
"l10n_hr_nkd_2445","2445","Proizvodnja ostalih obojenih metala"
"l10n_hr_nkd_2446","2446","Obrada nuklearnoga goriva"
"l10n_hr_nkd_2451","2451","Lijevanje željeza"
"l10n_hr_nkd_2452","2452","Lijevanje čelika"
"l10n_hr_nkd_2453","2453","Lijevanje lakih metala"
"l10n_hr_nkd_2454","2454","Lijevanje ostalih obojenih metala"
"l10n_hr_nkd_2511","2511","Proizvodnja metalnih konstrukcija i njihovih dijelova"
"l10n_hr_nkd_2512","2512","Proizvodnja vrata i prozora od metala"
"l10n_hr_nkd_2521","2521","Proizvodnja radijatora i kotlova za centralno grijanje"
"l10n_hr_nkd_2529","2529","Proizvodnja ostalih metalnih cisterni, rezervoara i sličnih posuda "
"l10n_hr_nkd_2530","2530","Proizvodnja parnih kotlova, osim kotlova za centralno grijanje toplom vodom"
"l10n_hr_nkd_2540","2540","Proizvodnja oružja i streljiva"
"l10n_hr_nkd_2550","2550","Kovanje, prešanje, štancanje i valjanje metala; metalurgija praha"
"l10n_hr_nkd_2561","2561","Obrada i prevlačenje metala"
"l10n_hr_nkd_2562","2562","Strojna obrada metala"
"l10n_hr_nkd_2571","2571","Proizvodnja sječiva"
"l10n_hr_nkd_2572","2572","Proizvodnja brava i okova"
"l10n_hr_nkd_2573","2573","Proizvodnja alata"
"l10n_hr_nkd_2591","2591","Proizvodnja čeličnih bačava i sličnih posuda "
"l10n_hr_nkd_2592","2592","Proizvodnja ambalaže od lakih metala"
"l10n_hr_nkd_2593","2593","Proizvodnja proizvoda od žice, lanaca i opruga"
"l10n_hr_nkd_2594","2594","Proizvodnja zakovica i vijčane robe"
"l10n_hr_nkd_2599","2599","Proizvodnja ostalih gotovih proizvoda od metala, d. n."
"l10n_hr_nkd_2611","2611","Proizvodnja elektroničkih komponenata "
"l10n_hr_nkd_2612","2612","Proizvodnja punih elektroničkih ploča"
"l10n_hr_nkd_2620","2620","Proizvodnja računala i periferne opreme"
"l10n_hr_nkd_2630","2630","Proizvodnja komunikacijske opreme"
"l10n_hr_nkd_2640","2640","Proizvodnja elektroničkih uređaja za široku potrošnju"
"l10n_hr_nkd_2651","2651","Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navigaciju"
"l10n_hr_nkd_2652","2652","Proizvodnja satova "
"l10n_hr_nkd_2660","2660","Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme"
"l10n_hr_nkd_2670","2670","Proizvodnja optičkih instrumenata i fotografske opreme"
"l10n_hr_nkd_2680","2680","Proizvodnja magnetskih i optičkih medija"
"l10n_hr_nkd_2711","2711","Proizvodnja elektromotora, generatora i transformatora"
"l10n_hr_nkd_2712","2712","Proizvodnja uređaja za distribuciju i kontrolu električne energije"
"l10n_hr_nkd_2720","2720","Proizvodnja baterija i akumulatora"
"l10n_hr_nkd_2731","2731","Proizvodnja kablova od optičkih vlakana"
"l10n_hr_nkd_2732","2732","Proizvodnja ostalih elektroničkih i električnih žica i kablova"
"l10n_hr_nkd_2733","2733","Proizvodnja elektroinstalacijskog materijala"
"l10n_hr_nkd_2740","2740","Proizvodnja električne opreme za rasvjetu"
"l10n_hr_nkd_2751","2751","Proizvodnja električnih aparata za kućanstvo"
"l10n_hr_nkd_2752","2752","Proizvodnja neelektričnih aparata za kućanstvo"
"l10n_hr_nkd_2790","2790","Proizvodnja ostale električne opreme"
"l10n_hr_nkd_2811","2811","Proizvodnja motora i turbina, osim motora za zrakoplove i motorna vozila"
"l10n_hr_nkd_2812","2812","Proizvodnja hidrauličnih pogonskih uređaja"
"l10n_hr_nkd_2813","2813","Proizvodnja ostalih crpki i kompresora"
