"id","name","applicability"
"tax_tag_I_1","I-1 Isporuke u RH za koje PDV obračunava primatelj (tuzemni PPO)","taxes"
"tax_tag_I_2","I-2 Isporuke dobara obavljenje u drugim državama članicama","taxes"
"tax_tag_I_3","I-3 Isporuke dobara unutar EU","taxes"
"tax_tag_I_4","I-4 Obavljene usluge unutar EU","taxes"
"tax_tag_I_5","I-5 Obavljene isporuke osobama bez sjedišta u RH","taxes"
"tax_tag_I_6","I-6 Sastavljanje i postavljanje dobara u drugoj državi članici EU","taxes"
"tax_tag_I_7","I-7 Isporuke novih prijevoznih sredstava u EU","taxes"
"tax_tag_I_8","I-8 Tuzemne isporuke","taxes"
"tax_tag_I_9","I-9 Izvozne isporuke","taxes"
"tax_tag_I_10","I-10 Ostala oslobođenja","taxes"
,,
"tax_tag_II_1","II-1 – Isporuke dobara i usluga u RH po stopi 5%","taxes"
"tax_tag_II_2","II-2 – Isporuke dobara i usluga u RH po stopi 13%","taxes"
"tax_tag_II_3","II-3 – Isporuke dobara i usluga u RH po stopi 25%","taxes"
"tax_tag_II_4","II-4 – Primljene isporuke u RH za koje PDV obračunava PRIMATELJ","taxes"
"tax_tag_II_5","II-5 – Stjecanje dobara unutar EU po stopi od 5%","taxes"
"tax_tag_II_6","II-6 – Stjecanje dobara unutar EU po stopi od 13%","taxes"
"tax_tag_II_7","II-7 – Stjecanje dobara unutar EU po stopi od 25%","taxes"
"tax_tag_II_8","II-8 – Primljene usluge iz EU po stopi od 5%","taxes"
"tax_tag_II_9","II-9 – Primljene usluge iz EU po stopi od 13%","taxes"
"tax_tag_II_10","II-10 – Primljene usluge iz EU po stopi od 25%","taxes"
"tax_tag_II_11","II-11 – Primljene isporuke dobara i usluga od poreznih obveznika bez sjedišta u RH po stopi od 5%","taxes"
"tax_tag_II_12","II-12 – Primljene isporuke dobara i usluga od poreznih obveznika bez sjedišta u RH po stopi od 13%","taxes"
"tax_tag_II_13","II-13 – Primljene isporuke dobara i usluga od poreznih obveznika bez sjedišta u RH po stopi od 25%","taxes"
"tax_tag_II_14","II-14 – Naknadno oslobođenje izvoza u okviru osobnog putničkog prometa","taxes"
"tax_tag_II_15","II-15 – Obračunati PDV pri uvozu","taxes"
,,
"tax_tag_III_1","III-1 Pretporez od primljenih isporuka u tuzemstvu po stopi od 5%","taxes"
"tax_tag_III_2","III-2 Pretporez od primljenih isporuka u tuzemstvu po stopi od 13%","taxes"
"tax_tag_III_3","III-3 Pretporez od primljenih isporuka u tuzemstvu po stopi od 25%","taxes"
"tax_tag_III_4","III-4 Pretporez od primljenih isporuka u RH za koje PDV obračunava primatelj (tuzemni PPO) ","taxes"
"tax_tag_III_5","III-5 Pretporez od stjecanja dobara unutar EU po stopi od 5%","taxes"
"tax_tag_III_6","III-6 Pretporez od stjecanja dobara unutar EU po stopi od 13%","taxes"
"tax_tag_III_7","III-7 Pretporez od stjecanja dobara unutar EU po stopi od 25%","taxes"
"tax_tag_III_8","III-8 Pretporez od primljenih usluga iz EU po stopi od 5%","taxes"
"tax_tag_III_9","III-9 Pretporez od primljenih usluga iz EU po stopi od 13%","taxes"
"tax_tag_III_10","III-10 Pretporez od primljenih usluga iz EU po stopi od 25%","taxes"
"tax_tag_III_11","III-11 Pretporez od primljenih dobara i usluga od por.obv. Bez sjedišta u RH po stopi od 5%","taxes"
"tax_tag_III_12","III-12 Pretporez od primljenih dobara i usluga od por.obv. Bez sjedišta u RH po stopi od 13%","taxes"
"tax_tag_III_13","III-13 Pretporez od primljenih dobara i usluga od por.obv. Bez sjedišta u RH po stopi od 25%","taxes"
"tax_tag_III_14","III-14 Pretporez pri uvozu","taxes"
"tax_tag_III_15","III-15 Ispravci pretporeza","taxes"
,,
"acc_tag_0","0 – POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","accounts"
"acc_tag_00","00 – POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","accounts"
"acc_tag_01","01 - NEMATERIJALNA IMOVINA","accounts"
"acc_tag_010","010 - Izdatci za razvoj","accounts"
"acc_tag_011","011 - Koncesije, patenti, licencije, robne i uslužne marke","accounts"
"acc_tag_012","012 - Softver i ostala prava","accounts"
"acc_tag_0120","0120 - Softwer","accounts"
"acc_tag_0121","0121 - Nematerijalna dugotrajna prava","accounts"
"acc_tag_0122","0122 - Ostala prava","accounts"
"acc_tag_013","013 - Goodwill","accounts"
"acc_tag_014","014 - Ostala nematerijalna imovina","accounts"
"acc_tag_015","015 - Predujmovi za nabavu nematerijalne imovine","accounts"
"acc_tag_016","016 - Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)","accounts"
"acc_tag_018","018 - Vrijednosno usklađenje nematerijalne imovine (analitika prema vrsti računa skupine 01)","accounts"
"acc_tag_019","019 - Akumulirana amortizacija nematerijalne imovine","accounts"
"acc_tag_02","02 - MATERIJALNA IMOVINA - NEKRETNINE","accounts"
"acc_tag_020","020 - Zemljišta","accounts"
"acc_tag_021","021 - Zemljišna prava (višegodišnja)","accounts"
"acc_tag_023","023 - Građevinski objekti (za vlastite potrebe)","accounts"
"acc_tag_024","024 - Stanovi za vlastite zaposlenike","accounts"
"acc_tag_026","026 - Predujmovi za nabavu nekretnina","accounts"
"acc_tag_027","027 - Nekretnine u pripremi","accounts"
"acc_tag_028","028 - Vrijednosno usklađenje nekretnina","accounts"
"acc_tag_029","029 - Akumulirana amortizacija građevina","accounts"
"acc_tag_03","03 - POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","accounts"
"acc_tag_030","030 - Postrojenja","accounts"
"acc_tag_031","031 - Oprema","accounts"
"acc_tag_032","032 - Alati, pogonski inventar i transportna imovina","accounts"
"acc_tag_0320","0320 - Transportna imovina","accounts"
"acc_tag_0321","0321 - Pokućstvo - inventar","accounts"
"acc_tag_033","033 - Pretporez koji se ne može odbiti (kao dio vrijed. os. aut.)","accounts"
"acc_tag_034","034 - Poljoprivredna oprema i mehanizacija","accounts"
"acc_tag_035","035 - Ostala materijalna imovina","accounts"
"acc_tag_036","036 - Predujmovi za materijalnu imovinu","accounts"
"acc_tag_037","037 - Materijalna imovina u pripremi","accounts"
"acc_tag_038","038 - Vrijednosno usklađenje postrojenja i opreme","accounts"
"acc_tag_039","039 - Akumulirana amortizacija postrojenja i opreme","accounts"
"acc_tag_04","04 - BIOLOŠKA IMOVINA","accounts"
"acc_tag_040","040 - Biološka imovina - bilje - višegodišnji nasadi","accounts"
"acc_tag_041","041 - Biološka imovina - životinje - osnovno stado","accounts"
"acc_tag_046","046 - Predujmovi za biološku imovinu","accounts"
"aac_tag_047","047 - Biološka imovina u pripremi","accounts"
"acc_tag_048","048 - Vrijednosno usklađenje biološke imovine","accounts"
"acc_tag_049","049 - Akumulirana amortizacija biološke imovine","accounts"
"acc_tag_05","05 - ULAGANJA U NEKRETNINE","accounts"
"acc_tag_050","050 - Ulaganja u nekretnine - zemljišta","accounts"
"acc_tag_051","051 - Ulaganja u nekretnine - građevine","accounts"
"acc_tag_056","056 - Predujmovi za ulaganja u nekretnine","accounts"
"acc_tag_057","057 - Ulaganja u nekretnine u pripremi","accounts"
