"id","position_id/id","tax_src_id/id","tax_dest_id/id"
"fp_EU_tax_PPDV25D_->_EU25D","fp_template_EU","tax_tmpl_PPDV25D","tax_tmpl_EU25D"
"fp_EU_tax_PPDV13D_->_EU13D","fp_template_EU","tax_tmpl_PPDV13D","tax_tmpl_EU13D"
"fp_EU_tax_PPDV5D_->_EU5D","fp_template_EU","tax_tmpl_PPDV5D","tax_tmpl_EU5D"
"fp_EU_tax_PDV25U_->_EU25U","fp_template_EU","tax_tmpl_PPDV25U","tax_tmpl_EU25U"
"fp_EU_tax_PDV13U_->_EU13U","fp_template_EU","tax_tmpl_PPDV13U","tax_tmpl_EU13U"
"fp_EU_tax_PDV25D_->_PO-EU-R","fp_template_EU","tax_tmpl_PDV25D","tax_tmpl_PO-EU-D"
"fp_EU_tax_PDV13D_->_PO-EU-R","fp_template_EU","tax_tmpl_PDV13D","tax_tmpl_PO-EU-D"
"fp_EU_tax_PDV5D_->_PO-EU-U","fp_template_EU","tax_tmpl_PDV5D","tax_tmpl_PO-EU-D"
"fp_EU_tax_PDV25U_->_PO-EU-U","fp_template_EU","tax_tmpl_PDV25U","tax_tmpl_PO-EU-U"
"fp_EU_tax_PDV13U_->_PO-EU-U","fp_template_EU","tax_tmpl_PDV13U","tax_tmpl_PO-EU-U"
"fp_INO_tax_PPDV25D_->_INO25DU","fp_template_INO","tax_tmpl_PPDV25D","tax_tmpl_INO25D"
"fp_INO_tax_PPDV13D_->_INO13DU","fp_template_INO","tax_tmpl_PPDV13D","tax_tmpl_INO13D"
"fp_INO_tax_PPDV5D_->_INO5DU","fp_template_INO","tax_tmpl_PPDV5D","tax_tmpl_INO5D"
"fp_INO_tax_PPDV25U_->_INO25DU","fp_template_INO","tax_tmpl_PPDV25U","tax_tmpl_INO25U"
"fp_INO_tax_PPDV13U_->_INO13DU","fp_template_INO","tax_tmpl_PPDV13U","tax_tmpl_INO13U"
"fp_INO_tax_PDV25D_->_PO-INO-D","fp_template_INO","tax_tmpl_PDV25D","tax_tmpl_PO-INO-D"
"fp_INO_tax_PDV13D_->_PO-INO-D","fp_template_INO","tax_tmpl_PDV13D","tax_tmpl_PO-INO-D"
"fp_INO_tax_PDV5D_->_PO-INO-D","fp_template_INO","tax_tmpl_PDV5D","tax_tmpl_PO-INO-D"
"fp_INO_tax_PDV25U_->_PO-INO-U","fp_template_INO","tax_tmpl_PDV25U","tax_tmpl_PO-INO-U"
"fp_INO_tax_PDV13U_->_PO-INO-U","fp_template_INO","tax_tmpl_PDV13U","tax_tmpl_PO-INO-U"
"fp_BEZ_SJED_tax_PDV25D_->_PO-BS","fp_template_BEZ_SJED","tax_tmpl_PDV25D","tax_tmpl_PO-BS"
"fp_BEZ_SJED_tax_PDV13D_->_PO-BS","fp_template_BEZ_SJED","tax_tmpl_PDV13D","tax_tmpl_PO-BS"
"fp_BEZ_SJED_tax_PDV5D_->_PO-BS","fp_template_BEZ_SJED","tax_tmpl_PDV5D","tax_tmpl_PO-BS"
"fp_BEZ_SJED_tax_PDV25U_->_PO-BS","fp_template_BEZ_SJED","tax_tmpl_PDV25U","tax_tmpl_PO-BS"
"fp_BEZ_SJED_tax_PDV25U_->_PO-BS","fp_template_BEZ_SJED","tax_tmpl_PDV13U","tax_tmpl_PO-BS"
"fp_NIJE_U_PDV_tax_PPDV25D_->_IZVAN-PDV","fp_template_NIJE_U_PDV","tax_tmpl_PDV25D","tax_tmpl_IZVAN-PDV"
"fp_NIJE_U_PDV_tax_PPDV13D_->_IZVAN-PDV","fp_template_NIJE_U_PDV","tax_tmpl_PDV13D","tax_tmpl_IZVAN-PDV"
"fp_NIJE_U_PDV_tax_PPDV5D_->_IZVAN-PDV","fp_template_NIJE_U_PDV","tax_tmpl_PDV5D","tax_tmpl_IZVAN-PDV"
"fp_NIJE_U_PDV_tax_PPDV25U_->_IZVAN-PDV","fp_template_NIJE_U_PDV","tax_tmpl_PDV25U","tax_tmpl_IZVAN-PDV"
"fp_NIJE_U_PDV_tax_PPDV25U_->_IZVAN-PDV","fp_template_NIJE_U_PDV","tax_tmpl_PDV13U","tax_tmpl_IZVAN-PDV"
"fp_PPO_PDV25D_->_PPO","fp_template_PPO","tax_tmpl_PDV25D","tax_tmpl_TPPO"
"fp_PPO_PDV25U_->_PPO","fp_template_PPO","tax_tmpl_PDV25U","tax_tmpl_TPPO"
"fp_PPO_PPDV25D_->_D-TPO25","fp_template_PPO","tax_tmpl_PPDV25D","tax_tmpl_D-TPO25"
"fp_PPO_PPDV25U_->_D-TPO25","fp_template_PPO","tax_tmpl_PPDV25U","tax_tmpl_D-TPO25"
"fp_AVANS_PDV25D_->_PDV25AV","fp_template_AVANS","tax_tmpl_PDV25D","tax_tmpl_PDV25A"
"fp_AVANS_PDV25U_->_PDV25AV","fp_template_AVANS","tax_tmpl_PDV25U","tax_tmpl_PDV25A"
"fp_AVANS_PDV13D_->_PDV13AV","fp_template_AVANS","tax_tmpl_PDV13D","tax_tmpl_PDV13A"
"fp_AVANS_PDV13U_->_PDV13AV","fp_template_AVANS","tax_tmpl_PDV13U","tax_tmpl_PDV13A"
"fp_AVANS_PDV5D_->_PDV13AV","fp_template_AVANS","tax_tmpl_PDV5D","tax_tmpl_PDV5A"
"fp_AVANS_PPDV25D_->_PPDV25AV","fp_template_AVANS","tax_tmpl_PPDV25D","tax_tmpl_PPDV25A"
"fp_AVANS_PPDV25U_->_PPDV25AV","fp_template_AVANS","tax_tmpl_PPDV25U","tax_tmpl_PPDV25A"
"fp_AVANS_PPDV13D_->_PPDV13AV","fp_template_AVANS","tax_tmpl_PPDV13D","tax_tmpl_PPDV13A"
"fp_AVANS_PPDV13U_->_PPDV13AV","fp_template_AVANS","tax_tmpl_PPDV13U","tax_tmpl_PPDV13A"
"fp_AVANS_PPDV5D_->_PPDV13AV","fp_template_AVANS","tax_tmpl_PPDV5D","tax_tmpl_PPDV5A"
"fp_NEOP_PPDV25D_->_NEOP","fp_template_NEOP","tax_tmpl_PPDV25D","tax_tmpl_NEOP"
"fp_NEOP_PPDV25U_->_NEOP","fp_template_NEOP","tax_tmpl_PPDV25U","tax_tmpl_NEOP"
"fp_NEOP_PPDV13D_->_NEOP","fp_template_NEOP","tax_tmpl_PPDV13D","tax_tmpl_NEOP"
"fp_NEOP_PPDV13U_->_NEOP","fp_template_NEOP","tax_tmpl_PPDV13U","tax_tmpl_NEOP"
"fp_NEOP_PPDV5D_->_NEOP","fp_template_NEOP","tax_tmpl_PPDV5D","tax_tmpl_NEOP"
