"id","code_prefix","parent_id/id","name"
"kp_rrif_acc_group_0","0",,"POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA"
"kp_rrif_acc_group_00","00","kp_rrif_acc_group_0","POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL"
"kp_rrif_acc_group_01","01","kp_rrif_acc_group_0","NEMATERIJALNA IMOVINA"
"kp_rrif_acc_group_010","010","kp_rrif_acc_group_01","Izdatci za razvoj"
"kp_rrif_acc_group_011","011","kp_rrif_acc_group_01","Koncesije, patenti, licencije, robne i uslužne marke"
"kp_rrif_acc_group_012","012","kp_rrif_acc_group_01","Softver i ostala prava"
"kp_rrif_acc_group_0120","0120","kp_rrif_acc_group_012","Softwer"
"kp_rrif_acc_group_0121","0121","kp_rrif_acc_group_012","Nematerijalna dugotrajna prava"
"kp_rrif_acc_group_0122","0122","kp_rrif_acc_group_012","Ostala prava"
"kp_rrif_acc_group_013","013","kp_rrif_acc_group_01","Goodwill"
"kp_rrif_acc_group_014","014","kp_rrif_acc_group_01","Ostala nematerijalna imovina"
"kp_rrif_acc_group_015","015","kp_rrif_acc_group_01","Predujmovi za nabavu nematerijalne imovine"
"kp_rrif_acc_group_016","016","kp_rrif_acc_group_01","Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)"
"kp_rrif_acc_group_018","018","kp_rrif_acc_group_01","Vrijednosno usklađenje nematerijalne imovine (analitika prema vrsti računa skupine 01)"
"kp_rrif_acc_group_019","019","kp_rrif_acc_group_01","Akumulirana amortizacija nematerijalne imovine"
"kp_rrif_acc_group_02","02","kp_rrif_acc_group_0","MATERIJALNA IMOVINA - NEKRETNINE"
"kp_rrif_acc_group_020","020","kp_rrif_acc_group_02","Zemljišta"
"kp_rrif_acc_group_021","021","kp_rrif_acc_group_02","Zemljišna prava (višegodišnja)"
"kp_rrif_acc_group_023","023","kp_rrif_acc_group_02","Građevinski objekti (za vlastite potrebe)"
"kp_rrif_acc_group_024","024","kp_rrif_acc_group_02","Stanovi za vlastite zaposlenike"
