id,zip,name,country_id:id,code,state_id:id
city_hr_1,10000,Zagreb,base.hr,1333,state_hr_21
city_hr_2,10010,Zagreb-Sloboština,base.hr,1333,state_hr_21
city_hr_3,10020,Zagreb-Novi Zagreb,base.hr,1333,state_hr_21
city_hr_4,10040,Zagreb-Dubrava,base.hr,1333,state_hr_21
city_hr_5,10090,Zagreb-Susedgrad,base.hr,1333,state_hr_21
city_hr_6,10110,Zagreb-Trešnjevka,base.hr,1333,state_hr_21
city_hr_7,10250,Lučko,base.hr,,state_hr_1
city_hr_8,10251,Hrvatski Leskovac,base.hr,,state_hr_1
city_hr_9,10253,Donji Dragonožec,base.hr,,state_hr_1
city_hr_10,10255,Gornji Stupnik,base.hr,,state_hr_1
city_hr_11,10257,Brezovica,base.hr,,state_hr_1
city_hr_12,10290,Zaprešić,base.hr,5436,state_hr_1
city_hr_13,10291,Prigorje Brdovečko,base.hr,,state_hr_1
city_hr_14,10292,Šenkovec,base.hr,6084,state_hr_1
city_hr_15,10293,Dubravica,base.hr,5495,state_hr_1
city_hr_16,10294,Donja Pušća,base.hr,,state_hr_1
city_hr_17,10295,Kupljenovo,base.hr,,state_hr_1
city_hr_18,10296,Luka,base.hr,5487,state_hr_1
city_hr_19,10297,Jakovlje,base.hr,1635,state_hr_1
city_hr_20,10298,Donja Bistra,base.hr,,state_hr_1
city_hr_21,10299,Marija Gorica,base.hr,5398,state_hr_1
city_hr_22,10310,Ivanić-Grad,base.hr,1589,state_hr_1
city_hr_23,10312,Kloštar Ivanić,base.hr,1937,state_hr_1
city_hr_24,10314,Križ,base.hr,2135,state_hr_1
city_hr_25,10315,Novoselec,base.hr,,state_hr_1
city_hr_26,10340,Vrbovec,base.hr,5088,state_hr_1
city_hr_27,10341,Lonjica,base.hr,,state_hr_1
city_hr_28,10342,Dubrava,base.hr,973,state_hr_1
city_hr_29,10343,Nova Kapela,base.hr,2852,state_hr_1
city_hr_30,10344,Farkaševac,base.hr,1147,state_hr_1
city_hr_31,10345,Gradec,base.hr,1350,state_hr_1
city_hr_32,10346,Preseka,base.hr,3565,state_hr_1
city_hr_33,10347,Rakovec,base.hr,5363,state_hr_1
city_hr_34,10360,Sesvete,base.hr,1333,state_hr_1
city_hr_35,10361,Sesvete-Kraljevec,base.hr,1333,state_hr_1
city_hr_36,10362,Kašina,base.hr,,state_hr_1
city_hr_37,10363,Belovar,base.hr,,state_hr_1
