id,code,name,description
untdid1001_document_type_80,80,Debit note related to goods or services,
untdid1001_document_type_81,81,Credit note related to goods or services,
untdid1001_document_type_82,82,Metered services invoice,
untdid1001_document_type_83,83,Credit note related to financial adjustments,
untdid1001_document_type_84,84,Debit note related to financial adjustments,
untdid1001_document_type_130,130,Invoicing data sheet,
untdid1001_document_type_202,202,Direct payment valuation,
untdid1001_document_type_203,203,Provisional payment valuation,
untdid1001_document_type_204,204,Payment valuation,
untdid1001_document_type_211,211,Interim application for payment,
untdid1001_document_type_261,261,Self billed credit note,
untdid1001_document_type_262,262,Consolidated credit note - goods and services,
untdid1001_document_type_295,295,Price variation invoice,
untdid1001_document_type_296,296,Credit note for price variation,
untdid1001_document_type_308,308,Delcredere credit note,
untdid1001_document_type_325,325,Proforma invoice,
untdid1001_document_type_326,326,Partial invoice,
untdid1001_document_type_380,380,Commercial invoice,
untdid1001_document_type_381,381,Credit note,
untdid1001_document_type_383,383,Debit note,
untdid1001_document_type_384,384,Corrected invoice,
untdid1001_document_type_385,385,Consolidated invoice,
untdid1001_document_type_386,386,Prepayment invoice,
untdid1001_document_type_387,387,Hire invoice,
untdid1001_document_type_388,388,Tax invoice,
untdid1001_document_type_389,389,Self-billed invoice,
untdid1001_document_type_390,390,Delcredere invoice,
untdid1001_document_type_393,393,Factored invoice,
untdid1001_document_type_394,394,Lease invoice,
untdid1001_document_type_395,395,Consignment invoice,
untdid1001_document_type_396,396,Factored credit note,
untdid1001_document_type_420,420,Optical Character Reading (OCR) payment credit note,
untdid1001_document_type_456,456,Debit advice,
untdid1001_document_type_457,457,Reversal of debit,
untdid1001_document_type_458,458,Reversal of credit,
untdid1001_document_type_527,527,Self billed debit note,
untdid1001_document_type_532,532,Forwarder's credit note,
untdid1001_document_type_575,575,Insurer's invoice,
untdid1001_document_type_623,623,Forwarder's invoice,
untdid1001_document_type_633,633,Port charges documents,
untdid1001_document_type_751,751,Invoice information for accounting purposes,
untdid1001_document_type_780,780,Freight invoice,
untdid1001_document_type_935,935,Customs invoice,
