code,name,date_start
A,"PRODUCTS OF AGRICULTURE, FORESTRY AND FISHING",2025-01-01
01,"Products of agriculture, hunting and related services",2025-01-01
01.1,Non-perennial crops,2025-01-01
01.11,"Cereals, other than rice, leguminous crops and oil seeds",2025-01-01
01.11.1,Wheat,2025-01-01
01.11.11,Durum wheat,2025-01-01
01.11.12,"Wheat, except durum wheat",2025-01-01
01.11.2,Maize,2025-01-01
01.11.20,Maize,2025-01-01
01.11.3,"Barley, rye and oats",2025-01-01
01.11.31,Barley,2025-01-01
01.11.32,Rye,2025-01-01
01.11.33,Oats,2025-01-01
01.11.4,"Sorghum, millet and other cereals",2025-01-01
01.11.41,Sorghum,2025-01-01
01.11.42,Millet,2025-01-01
01.11.43,Triticale,2025-01-01
01.11.49,Other cereals n.e.c.,2025-01-01
01.11.5,Cereal straw and husks,2025-01-01
01.11.50,Cereal straw and husks,2025-01-01
01.11.6,"Fresh leguminous vegetables, unshelled",2025-01-01
01.11.61,"Fresh beans, unshelled",2025-01-01
01.11.62,"Fresh peas, unshelled",2025-01-01
01.11.69,"Fresh leguminous vegetables, unshelled, n.e.c.",2025-01-01
01.11.7,Dried leguminous vegetables,2025-01-01
01.11.71,"Beans, dry",2025-01-01
01.11.72,"Broad beans, dry",2025-01-01
01.11.73,"Chick peas, dry",2025-01-01
01.11.74,"Lentils, dry",2025-01-01
01.11.75,"Peas, dry",2025-01-01
01.11.76,Cow peas,2025-01-01
01.11.77,"Pigeon peas, dry",2025-01-01
01.11.79,Dried leguminous vegetables n.e.c.,2025-01-01
01.11.8,Soya beans and groundnuts,2025-01-01
01.11.81,Soya beans,2025-01-01
01.11.82,"Groundnuts, in shell",2025-01-01
01.11.9,Other oil seeds,2025-01-01
01.11.91,Linseed,2025-01-01
01.11.92,Mustard seed,2025-01-01
01.11.93,Rape or colza seed,2025-01-01
01.11.94,Sesame seed,2025-01-01
01.11.95,Sunflower seed,2025-01-01
01.11.96,Castor oil seeds,2025-01-01
01.11.99,Other oil seeds n.e.c.,2025-01-01
01.12,"Rice, not husked",2025-01-01
01.12.0,"Rice, not husked",2025-01-01
01.12.00,"Rice, not husked",2025-01-01
01.13,"Vegetables and melons, roots and tubers",2025-01-01
01.13.1,Leafy or stem vegetables,2025-01-01
01.13.11,Asparagus,2025-01-01
01.13.12,Cabbages,2025-01-01
01.13.13,Cauliflowers and broccoli,2025-01-01
01.13.14,Lettuce,2025-01-01
