id,code,name,date_start,level,parent_id/id
l10n_hr_kpd.A,A,"PRODUCTS OF AGRICULTURE, FORESTRY AND FISHING",2025-01-01,1,
l10n_hr_kpd.01,01,"Products of agriculture, hunting and related services",2025-01-01,2,l10n_hr_kpd.A
l10n_hr_kpd.01_1,01.1,Non-perennial crops,2025-01-01,3,l10n_hr_kpd.01
l10n_hr_kpd.01_11,01.11,"Cereals, other than rice, leguminous crops and oil seeds",2025-01-01,4,l10n_hr_kpd.01_1
l10n_hr_kpd.01_11_1,01.11.1,Wheat,2025-01-01,5,l10n_hr_kpd.01_11
l10n_hr_kpd.01_11_11,01.11.11,Durum wheat,2025-01-01,6,l10n_hr_kpd.01_11_1
l10n_hr_kpd.01_11_12,01.11.12,"Wheat, except durum wheat",2025-01-01,6,l10n_hr_kpd.01_11_1
l10n_hr_kpd.01_11_2,01.11.2,Maize,2025-01-01,5,l10n_hr_kpd.01_11
l10n_hr_kpd.01_11_20,01.11.20,Maize,2025-01-01,6,l10n_hr_kpd.01_11_2
l10n_hr_kpd.01_11_3,01.11.3,"Barley, rye and oats",2025-01-01,5,l10n_hr_kpd.01_11
l10n_hr_kpd.01_11_31,01.11.31,Barley,2025-01-01,6,l10n_hr_kpd.01_11_3
l10n_hr_kpd.01_11_32,01.11.32,Rye,2025-01-01,6,l10n_hr_kpd.01_11_3
l10n_hr_kpd.01_11_33,01.11.33,Oats,2025-01-01,6,l10n_hr_kpd.01_11_3
l10n_hr_kpd.01_11_4,01.11.4,"Sorghum, millet and other cereals",2025-01-01,5,l10n_hr_kpd.01_11
l10n_hr_kpd.01_11_41,01.11.41,Sorghum,2025-01-01,6,l10n_hr_kpd.01_11_4
l10n_hr_kpd.01_11_42,01.11.42,Millet,2025-01-01,6,l10n_hr_kpd.01_11_4
l10n_hr_kpd.01_11_43,01.11.43,Triticale,2025-01-01,6,l10n_hr_kpd.01_11_4
l10n_hr_kpd.01_11_49,01.11.49,Other cereals n.e.c.,2025-01-01,6,l10n_hr_kpd.01_11_4
l10n_hr_kpd.01_11_5,01.11.5,Cereal straw and husks,2025-01-01,5,l10n_hr_kpd.01_11
l10n_hr_kpd.01_11_50,01.11.50,Cereal straw and husks,2025-01-01,6,l10n_hr_kpd.01_11_5
