"redBroj","BrojPu","NazivPu","Naselje","state_id:id","Zupanija"
8,10000,"Zagreb","Sljeme (Medvednica-Tomislavac)","l10n_hr_data.state_hr_21","GRAD ZAGREB"
2,10000,"Zagreb","Zagreb-Gornji Grad- Medveščak","l10n_hr_data.state_hr_21","GRAD ZAGREB"
3,10000,"Zagreb","Zagreb-Trnje","l10n_hr_data.state_hr_21","GRAD ZAGREB"
4,10000,"Zagreb","Zagreb-Maksimir","l10n_hr_data.state_hr_21","GRAD ZAGREB"
5,10000,"Zagreb","Zagreb-Pešćenica-Žitnjak","l10n_hr_data.state_hr_21","GRAD ZAGREB"
6,10000,"Zagreb","Zagreb-Črnomerec","l10n_hr_data.state_hr_21","GRAD ZAGREB"
7,10000,"Zagreb","Zagreb-Podsljeme","l10n_hr_data.state_hr_21","GRAD ZAGREB"
1,10000,"Zagreb","Zagreb-Donji Grad","l10n_hr_data.state_hr_21","GRAD ZAGREB"
12,10010,"Zagreb-Sloboština","Velika Mlaka","l10n_hr_data.state_hr_21","GRAD ZAGREB"
11,10010,"Zagreb-Sloboština","Zagreb-Novi Zagreb-istok","l10n_hr_data.state_hr_21","GRAD ZAGREB"
9,10010,"Zagreb-Sloboština","Buzin","l10n_hr_data.state_hr_21","GRAD ZAGREB"
10,10010,"Zagreb-Sloboština","Veliko Polje","l10n_hr_data.state_hr_21","GRAD ZAGREB"
18,10020,"Zagreb-Novi Zagreb","Odra","l10n_hr_data.state_hr_21","GRAD ZAGREB"
15,10020,"Zagreb-Novi Zagreb","Gornji Čehi","l10n_hr_data.state_hr_21","GRAD ZAGREB"
21,10020,"Zagreb-Novi Zagreb","Zagreb-Novi Zagreb-zapad","l10n_hr_data.state_hr_21","GRAD ZAGREB"
20,10020,"Zagreb-Novi Zagreb","Strmec","l10n_hr_data.state_hr_21","GRAD ZAGREB"
19,10020,"Zagreb-Novi Zagreb","Odranski Obrež","l10n_hr_data.state_hr_21","GRAD ZAGREB"
16,10020,"Zagreb-Novi Zagreb","Hrašće Turopoljsko","l10n_hr_data.state_hr_21","GRAD ZAGREB"
14,10020,"Zagreb-Novi Zagreb","Donji Čehi","l10n_hr_data.state_hr_21","GRAD ZAGREB"
13,10020,"Zagreb-Novi Zagreb","Botinec","l10n_hr_data.state_hr_21","GRAD ZAGREB"
17,10020,"Zagreb-Novi Zagreb","Mala Mlaka","l10n_hr_data.state_hr_21","GRAD ZAGREB"
22,10040,"Zagreb-Dubrava","Zagreb-Gornja Dubrava","l10n_hr_data.state_hr_21","GRAD ZAGREB"
23,10040,"Zagreb-Dubrava","Zagreb-Donja Dubrava","l10n_hr_data.state_hr_21","GRAD ZAGREB"
24,10090,"Zagreb-Susedgrad","Zagreb-Stenjevec","l10n_hr_data.state_hr_21","GRAD ZAGREB"
25,10090,"Zagreb-Susedgrad","Zagreb-Podsused-Vrapče","l10n_hr_data.state_hr_21","GRAD ZAGREB"
26,10110,"Zagreb","Zagreb-Trešnjevka-sjever","l10n_hr_data.state_hr_21","GRAD ZAGREB"
27,10110,"Zagreb","Zagreb-Trešnjevka-jug","l10n_hr_data.state_hr_21","GRAD ZAGREB"
