id,code,untdid_5305_code,l10n_hr_untdid_5305_code,untdid_5153_code,name,description
tax_category_PDV25,HR:PDV25,S,S,VAT,Standardna stopa PDV-a 25%,Standardna ili reducirana stopa PDV-a
tax_category_PDV13,HR:PDV13,S,S,VAT,Reducirana stopa PDV-a 13%,Standardna ili reducirana stopa PDV-a
tax_category_PDV5,HR:PDV5,S,S,VAT,Reducirana stopa PDV-a 5%,Standardna ili reducirana stopa PDV-a
tax_category_Z,HR:Z,Z,Z,VAT,Nulta stopa PDV-a,Nulta stopa PDVa
tax_category_K,HR:K,K,K,VAT,Isporuka unutar EU,Oslobođeno PDV-a uslijed isporuke unutar EU
tax_category_G,HR:G,G,G,VAT,Izvoz,Oslobođeno PDV-a uslijed izvoza
tax_category_AE,HR:AE,AE,AE,VAT,Prijenos porezne obveze,Prijenos porezne obveze – porez plaća primatelj računa
tax_category_E,HR:E,E,E,VAT,Osobođen PDV-a,Artikl je oslobođen PDV-a prema odgovarajučem članku navedenom u TaxExemptionReason
tax_category_POVNAK,HR:POVNAK,E,O,OTH,Povratna naknada,Povratna naknada za jednokratnu ambalažu (trošak POVNAK je prolazna stavka koja ne ulazi u poreznu osnovicu - čl. 33. st. 3)
tax_category_PP,HR:PP,E,O,LOC,Posebni porez na potrošnju u ugostiteljstvu,"Artikl podliježe i pod posebni porez u ugostiteljstvu (u iznosu definiranom prema lokalnim propisima, trošaak PPUG je prolazna stavka čl. 33. st. 3)"
tax_category_PPMV,HR:PPMV,E,O,CAR,Posebni porez na motorna vozila,Na artikl se plaća PDV o Posebni porez na motorna vozila (Sam trošak PPMV je prolazna stavka čl. 33. st. 3)
tax_category_O,HR:O,O,O,VAT,Nije predmet oporezivanja PDV-om,Artikl ne podliježe PDV-u (jer cijeli račun ne podliježe PDV-u temeljem čl. 5 Zakona o PDVu)
tax_category_N,HR:N,E,O,VAT,Nije predmet oporezivanja PDV-om,Artikl ne podliježe PDV-u
