"id","name","porezna_uprava","code"
"porezna_ispostava_3402","Zagreb – Centar","Zagreb",3402
"porezna_ispostava_3401","Zagreb – Cijeli","Zagreb",3401
"porezna_ispostava_3403","Zagreb – Črnomerec","Zagreb",3403
"porezna_ispostava_3404","Zagreb – Dubrava","Zagreb",3404
"porezna_ispostava_3405","Zagreb – Maksimir","Zagreb",3405
"porezna_ispostava_3406","Zagreb – Medvešćak","Zagreb",3406
"porezna_ispostava_3407","Zagreb – Novi Zagreb","Zagreb",3407
"porezna_ispostava_3408","Zagreb – Pešćenica","Zagreb",3408
"porezna_ispostava_3409","Zagreb – Susedgrad","Zagreb",3409
"porezna_ispostava_3410","Zagreb – Trešnjevka","Zagreb",3410
"porezna_ispostava_3411","Zagreb – Trnje","Zagreb",3411
"porezna_ispostava_3428","Zagreb – Za velike porezne obveznike","Zagreb",3428
"porezna_ispostava_3412","Zaprešić","Zagreb",3412
"porezna_ispostava_3332","Ivanić-Grad","Zagreb",3332
"porezna_ispostava_3394","Vrbovec","Zagreb",3394
"porezna_ispostava_3376","Sesvete","Zagreb",3376
"porezna_ispostava_3320","Dugo Selo","Zagreb",3320
"porezna_ispostava_3413","Sveti Ivan Zelina","Zagreb",3413
"porezna_ispostava_3389","Velika Gorica","Zagreb",3389
"porezna_ispostava_3374","Samobor","Zagreb",3374
"porezna_ispostava_3333","Jastrebarsko","Zagreb",3333
"porezna_ispostava_3318","Dubrovnik","Dubrovnik",3318
"porezna_ispostava_3338","Korčula","Dubrovnik",3338
"porezna_ispostava_3345","Lastovo","Dubrovnik",3345
"porezna_ispostava_3418","Ploče","Dubrovnik",3418
"porezna_ispostava_3349","Metković","Dubrovnik",3349
"porezna_ispostava_3421","Split","Split",3421
"porezna_ispostava_3420","Solin","Split",3420
"porezna_ispostava_3419","Kaštela","Split",3419
"porezna_ispostava_3385","Trogir","Split",3385
"porezna_ispostava_3377","Sinj","Split",3377
"porezna_ispostava_3330","Imotski","Split",3330
"porezna_ispostava_3397","Vrgorac","Split",3397
"porezna_ispostava_3347","Makarska","Split",3347
"porezna_ispostava_3357","Omiš","Split",3357
"porezna_ispostava_3305","Supetar","Split",3305
"porezna_ispostava_3329","Hvar","Split",3329
"porezna_ispostava_3392","Vis","Split",3392
"porezna_ispostava_3383","Šibenik","Šibenik",3383
"porezna_ispostava_3336","Knin","Šibenik",3336
"porezna_ispostava_3317","Drniš","Šibenik",3317
"porezna_ispostava_3400","Zadar","Zadar",3400
"porezna_ispostava_3303","Biograd na moru","Zadar",3303
"porezna_ispostava_3363","Pag","Zadar",3363
"porezna_ispostava_3302","Benkovac","Zadar",3302
"porezna_ispostava_3327","Gračac","Zadar",3327
"porezna_ispostava_3355","Obrovac","Zadar",3355
"porezna_ispostava_3360","Osijek","Osijek",3360
"porezna_ispostava_3301","Beli Manastir","Osijek",3301
"porezna_ispostava_3322","Đakovo","Osijek",3322
"porezna_ispostava_3350","Našice","Osijek",3350
"porezna_ispostava_3316","Donji Miholjac","Osijek",3316
"porezna_ispostava_3387","Valpovo","Osijek",3387
"porezna_ispostava_3398","Vukovar","Vukovar",3398
"porezna_ispostava_3390","Vinkovci","Vukovar",3390
"porezna_ispostava_3425","Ilok","Vukovar",3425
"porezna_ispostava_3415","Županja","Vukovar",3415
"porezna_ispostava_3391","Virovitica","Virovitica",3391
"porezna_ispostava_3359","Orahovica","Virovitica",3359
"porezna_ispostava_3359","Slatina","Varaždin",3359
"porezna_ispostava_3379","Požega","Požega",3379
"porezna_ispostava_3364","Pakrac","Požega",3364
"porezna_ispostava_3380","Slavonski Brod","Slavonski Brod",3380
"porezna_ispostava_3351","Nova Gradiška","Slavonski Brod",3351
"porezna_ispostava_3424","Okučani","Slavonski Brod",3424
"porezna_ispostava_3310","Čakovec","Čakovec",3310
"porezna_ispostava_3422","Mursko Središče","Čakovec",3422
"porezna_ispostava_3423","Prelog","Čakovec",3423
"porezna_ispostava_3388","Varaždin","Varaždin",3388
"porezna_ispostava_3353","Novi Marof","Varaždin",3353
"porezna_ispostava_3346","Ludbreg","Varaždin",3346
"porezna_ispostava_3331","Ivanec","Varaždin",3331
"porezna_ispostava_3304","Bjelovar","Bjelovar",3304
"porezna_ispostava_3311","Čazma","Bjelovar",3311
"porezna_ispostava_3324","Garešnica","Bjelovar",3324
"porezna_ispostava_3328","Grubišno Polje","Bjelovar",3328
"porezna_ispostava_3312","Daruvar","Bjelovar",3312
"porezna_ispostava_3378","Sisak","Sisak",3378
"porezna_ispostava_3366","Petrinja","Sisak",3366
"porezna_ispostava_3343","Kutina","Sisak",3343
"porezna_ispostava_3354","Novska","Sisak",3354
"porezna_ispostava_3325","Glina","Sisak",3325
"porezna_ispostava_3396","Gvozd","Sisak",3396
"porezna_ispostava_3339","Hrvatska Kostajnica","Sisak",3339
"porezna_ispostava_3321","Dvor","Sisak",3321
"porezna_ispostava_3334","Karlovac","Karlovac",3334
"porezna_ispostava_3393","Vojnić","Karlovac",3393
"porezna_ispostava_3381","Slunj","Karlovac",3381
"porezna_ispostava_3319","Duga Resa","Karlovac",3319
"porezna_ispostava_3362","Ozalj","Karlovac",3362
"porezna_ispostava_3356","Ogulin","Karlovac",3356
