id,code,name,description
tax_exempt_VATEX_EU_79_C,VATEX-EU-79-C,"Exempt based on article 79, point c of Council Directive 2006/112/EC",Repayment of expenditure is not an exemption in the sense of the VAT Directive but may be handled as such in the context of the EN16931.
tax_exempt_VATEX_EU_132,VATEX-EU-132,Exempt based on article 132 of Council Directive 2006/112/EC,Exemptions for certain activities in public interest.
tax_exempt_VATEX_EU_132_1A,VATEX-EU-132-1A,"Exempt based on article 132, section 1 (a) of Council Directive 2006/112/EC","The supply by the public postal services of services other than passenger transport and telecommunications services, and the supply of goods incidental thereto."
tax_exempt_VATEX_EU_132_1B,VATEX-EU-132-1B,"Exempt based on article 132, section 1 (b) of Council Directive 2006/112/EC","Hospital and medical care and closely related activities undertaken by bodies governed by public law or, under social conditions comparable with those applicable to bodies governed by public law, by hospitals, centres for medical treatment or diagnosis and other duly recognised establishments of a similar nature"
tax_exempt_VATEX_EU_132_1C,VATEX-EU-132-1C,"Exempt based on article 132, section 1 (c) of Council Directive 2006/112/EC",The provision of medical care in the exercise of the medical and paramedical professions as defined by the Member State concerned.
tax_exempt_VATEX_EU_132_1D,VATEX-EU-132-1D,"Exempt based on article 132, section 1 (d) of Council Directive 2006/112/EC","The supply of human organs, blood and milk."
tax_exempt_VATEX_EU_132_1E,VATEX-EU-132-1E,"Exempt based on article 132, section 1 (e) of Council Directive 2006/112/EC",The supply of services by dental technicians in their professional capacity and the supply of dental prostheses by dentists and dental technicians.
tax_exempt_VATEX_EU_132_1F,VATEX-EU-132-1F,"Exempt based on article 132, section 1 (f) of Council Directive 2006/112/EC","The supply of services by independent groups of persons, who are carrying on an activity which is exempt from VAT or in relation to which they are not taxable persons, for the purpose of rendering their members the services directly necessary for the exercise of that activity, where those groups merely claim from their members exact reimbursement of their share of the joint expenses, provided that such exemption is not likely to cause distortion of competition."
tax_exempt_VATEX_EU_132_1G,VATEX-EU-132-1G,"Exempt based on article 132, section 1 (g) of Council Directive 2006/112/EC","The supply of services and of goods closely linked to welfare and social security work, including those supplied by old people's homes, by bodies governed by public law or by other bodies recognised by the Member State concerned as being devoted to social wellbeing."
tax_exempt_VATEX_EU_132_1H,VATEX-EU-132-1H,"Exempt based on article 132, section 1 (h) of Council Directive 2006/112/EC","""The supply of services and of goods closely linked to the protection of children and young persons by bodies governed by public law or by other organisations recognised by the Member State concerned as being devoted to social wellbeing"""
tax_exempt_VATEX_EU_132_1I,VATEX-EU-132-1I,"Exempt based on article 132, section 1 (i) of Council Directive 2006/112/EC",""" The provision of children's or young people's education, school or university education, vocational training or retraining, including the supply of services and of goods closely related thereto, by bodies governed by public law having such as their aim or by other organisations recognised by the Member State concerned as having similar objects."""
tax_exempt_VATEX_EU_132_1J,VATEX-EU-132-1J,"Exempt based on article 132, section 1 (j) of Council Directive 2006/112/EC",Tuition given privately by teachers and covering school or university education.
tax_exempt_VATEX_EU_132_1K,VATEX-EU-132-1K,"Exempt based on article 132, section 1 (k) of Council Directive 2006/112/EC","The supply of staff by religious or philosophical institutions for the purpose of the activities referred to in points (b), (g), (h) and (i) and with a view to spiritual welfare."
tax_exempt_VATEX_EU_132_1L,VATEX-EU-132-1L,"Exempt based on article 132, section 1 (l) of Council Directive 2006/112/EC","The supply of services, and the supply of goods closely linked thereto, to their members in their common interest in return for a subscription fixed in accordance with their rules by non-profitmaking organisations with aims of a political, trade-union, religious, patriotic, philosophical, philanthropic or civic nature, provided that this exemption is not likely to cause distortion of competition."
tax_exempt_VATEX_EU_132_1M,VATEX-EU-132-1M,"Exempt based on article 132, section 1 (m) of Council Directive 2006/112/EC",The supply of certain services closely linked to sport or physical education by non-profit-making organisations to persons taking part in sport or physical education.
tax_exempt_VATEX_EU_132_1N,VATEX-EU-132-1N,"Exempt based on article 132, section 1 (n) of Council Directive 2006/112/EC","The supply of certain cultural services, and the supply of goods closely linked thereto, by bodies governed by public law or by other cultural bodies recognised by the Member State concerned."
tax_exempt_VATEX_EU_132_1O,VATEX-EU-132-1O,"Exempt based on article 132, section 1 (o) of Council Directive 2006/112/EC","""The supply of services and goods, by organisations whose activities are exempt pursuant to points (b), (g), (h), (i), (l), (m) and (n), in connection with fund-raising events organised exclusively for their own benefit, provided that exemption is not likely to cause distortion of competition."""
tax_exempt_VATEX_EU_132_1P,VATEX-EU-132-1P,"Exempt based on article 132, section 1 (p) of Council Directive 2006/112/EC","The supply of transport services for sick or injured persons in vehicles specially designed for the purpose, by duly authorised bodies."
tax_exempt_VATEX_EU_132_1Q,VATEX-EU-132-1Q,"Exempt based on article 132, section 1 (q) of Council Directive 2006/112/EC","The activities, other than those of a commercial nature, carried out by public radio and television bodies."
tax_exempt_VATEX_EU_143,VATEX-EU-143,Exempt based on article 143 of Council Directive 2006/112/EC,Exemptions on importation.
tax_exempt_VATEX_EU_143_1A,VATEX-EU-143-1A,"Exempt based on article 143, section 1 (a) of Council Directive 2006/112/EC",The final importation of goods of which the supply by a taxable person would in all circumstances be exempt within their respective territory.
tax_exempt_VATEX_EU_143_1B,VATEX-EU-143-1B,"Exempt based on article 143, section 1 (b) of Council Directive 2006/112/EC","The final importation of goods governed by Council Directives 69/169/EEC (1), 83/181/EEC (2) and 2006/79/EC (3)."
