id,code,name
en16931_uom_10,10,group
en16931_uom_11,11,outfit
en16931_uom_13,13,ration
en16931_uom_14,14,shot
en16931_uom_15,15,"stick, military"
en16931_uom_20,20,twenty foot container
en16931_uom_21,21,forty foot container
en16931_uom_22,22,decilitre per gram
en16931_uom_23,23,gram per cubic centimetre
en16931_uom_24,24,theoretical pound
en16931_uom_25,25,gram per square centimetre
en16931_uom_27,27,theoretical ton
en16931_uom_28,28,kilogram per square metre
en16931_uom_33,33,kilopascal square metre per gram
en16931_uom_34,34,kilopascal per millimetre
en16931_uom_35,35,millilitre per square centimetre second
en16931_uom_37,37,ounce per square foot
en16931_uom_38,38,"ounce per square foot per 0,01inch"
en16931_uom_40,40,millilitre per second
en16931_uom_41,41,millilitre per minute
en16931_uom_56,56,sitas
en16931_uom_57,57,mesh
en16931_uom_58,58,net kilogram
en16931_uom_59,59,part per million
en16931_uom_60,60,percent weight
en16931_uom_61,61,part per billion (US)
en16931_uom_74,74,millipascal
en16931_uom_77,77,milli-inch
en16931_uom_80,80,pound per square inch absolute
en16931_uom_81,81,henry
en16931_uom_85,85,foot pound-force
en16931_uom_87,87,pound per cubic foot
en16931_uom_89,89,poise
en16931_uom_91,91,stokes
en16931_uom_1I,1I,fixed rate
en16931_uom_2A,2A,radian per second
en16931_uom_2B,2B,radian per second squared
en16931_uom_2C,2C,roentgen
en16931_uom_2G,2G,volt AC
en16931_uom_2H,2H,volt DC
en16931_uom_2I,2I,British thermal unit (international table) per hour
en16931_uom_2J,2J,cubic centimetre per second
en16931_uom_2K,2K,cubic foot per hour
en16931_uom_2L,2L,cubic foot per minute
en16931_uom_2M,2M,centimetre per second
en16931_uom_2N,2N,decibel
en16931_uom_2P,2P,kilobyte
en16931_uom_2Q,2Q,kilobecquerel
en16931_uom_2R,2R,kilocurie
en16931_uom_2U,2U,megagram
en16931_uom_2X,2X,metre per minute
en16931_uom_2Y,2Y,milliroentgen
en16931_uom_2Z,2Z,millivolt
en16931_uom_3B,3B,megajoule
en16931_uom_3C,3C,manmonth
en16931_uom_4C,4C,centistokes
en16931_uom_4G,4G,microlitre
en16931_uom_4H,4H,micrometre (micron)
en16931_uom_4K,4K,milliampere
en16931_uom_4L,4L,megabyte
en16931_uom_4M,4M,milligram per hour
en16931_uom_4N,4N,megabecquerel
en16931_uom_4O,4O,microfarad
en16931_uom_4P,4P,newton per metre
en16931_uom_4Q,4Q,ounce inch
en16931_uom_4R,4R,ounce foot
en16931_uom_4T,4T,picofarad
en16931_uom_4U,4U,pound per hour
en16931_uom_4W,4W,ton (US) per hour
en16931_uom_4X,4X,kilolitre per hour
en16931_uom_5A,5A,barrel (US) per minute
en16931_uom_5B,5B,batch
en16931_uom_5E,5E,MMSCF/day
en16931_uom_5J,5J,hydraulic horse power
en16931_uom_A10,A10,ampere square metre per joule second
en16931_uom_A11,A11,angstrom
en16931_uom_A12,A12,astronomical unit
en16931_uom_A13,A13,attojoule
en16931_uom_A14,A14,barn
en16931_uom_A15,A15,barn per electronvolt
en16931_uom_A16,A16,barn per steradian electronvolt
en16931_uom_A17,A17,barn per steradian
en16931_uom_A18,A18,becquerel per kilogram
en16931_uom_A19,A19,becquerel per cubic metre
en16931_uom_A2,A2,ampere per centimetre
en16931_uom_A20,A20,British thermal unit (international table) per second square foot degree Rankine
en16931_uom_A21,A21,British thermal unit (international table) per pound degree Rankine
en16931_uom_A22,A22,British thermal unit (international table) per second foot degree Rankine
en16931_uom_A23,A23,British thermal unit (international table) per hour square foot degree Rankine
en16931_uom_A24,A24,candela per square metre
en16931_uom_A26,A26,coulomb metre
en16931_uom_A27,A27,coulomb metre squared per volt
en16931_uom_A28,A28,coulomb per cubic centimetre
en16931_uom_A29,A29,coulomb per cubic metre
en16931_uom_A3,A3,ampere per millimetre
en16931_uom_A30,A30,coulomb per cubic millimetre
en16931_uom_A31,A31,coulomb per kilogram second
en16931_uom_A32,A32,coulomb per mole
en16931_uom_A33,A33,coulomb per square centimetre
en16931_uom_A34,A34,coulomb per square metre
en16931_uom_A35,A35,coulomb per square millimetre
en16931_uom_A36,A36,cubic centimetre per mole
en16931_uom_A37,A37,cubic decimetre per mole
en16931_uom_A38,A38,cubic metre per coulomb
en16931_uom_A39,A39,cubic metre per kilogram
en16931_uom_A4,A4,ampere per square centimetre
en16931_uom_A40,A40,cubic metre per mole
en16931_uom_A41,A41,ampere per square metre
en16931_uom_A42,A42,curie per kilogram
en16931_uom_A43,A43,deadweight tonnage
en16931_uom_A44,A44,decalitre
en16931_uom_A45,A45,decametre
en16931_uom_A47,A47,decitex
en16931_uom_A48,A48,degree Rankine
en16931_uom_A49,A49,denier
en16931_uom_A5,A5,ampere square metre
en16931_uom_A53,A53,electronvolt
en16931_uom_A54,A54,electronvolt per metre
en16931_uom_A55,A55,electronvolt square metre
en16931_uom_A56,A56,electronvolt square metre per kilogram
en16931_uom_A59,A59,8-part cloud cover
en16931_uom_A6,A6,ampere per square metre kelvin squared
en16931_uom_A68,A68,exajoule
en16931_uom_A69,A69,farad per metre
en16931_uom_A7,A7,ampere per square millimetre
en16931_uom_A70,A70,femtojoule
en16931_uom_A71,A71,femtometre
en16931_uom_A73,A73,foot per second squared
en16931_uom_A74,A74,foot pound-force per second
en16931_uom_A75,A75,freight ton
en16931_uom_A76,A76,gal
en16931_uom_A8,A8,ampere second
en16931_uom_A84,A84,gigacoulomb per cubic metre
en16931_uom_A85,A85,gigaelectronvolt
en16931_uom_A86,A86,gigahertz
en16931_uom_A87,A87,gigaohm
en16931_uom_A88,A88,gigaohm metre
en16931_uom_A89,A89,gigapascal
en16931_uom_A9,A9,rate
en16931_uom_A90,A90,gigawatt
en16931_uom_A91,A91,gon
en16931_uom_A93,A93,gram per cubic metre
en16931_uom_A94,A94,gram per mole
en16931_uom_A95,A95,gray
en16931_uom_A96,A96,gray per second
en16931_uom_A97,A97,hectopascal
en16931_uom_A98,A98,henry per metre
en16931_uom_A99,A99,bit
en16931_uom_AA,AA,ball
en16931_uom_AB,AB,bulk pack
en16931_uom_ACR,ACR,acre
en16931_uom_ACT,ACT,activity
en16931_uom_AD,AD,byte
en16931_uom_AE,AE,ampere per metre
en16931_uom_AH,AH,additional minute
en16931_uom_AI,AI,average minute per call
en16931_uom_AK,AK,fathom
en16931_uom_AL,AL,access line
en16931_uom_AMH,AMH,ampere hour
en16931_uom_AMP,AMP,ampere
en16931_uom_ANN,ANN,year
en16931_uom_APZ,APZ,troy ounce or apothecary ounce
en16931_uom_AQ,AQ,anti-hemophilic factor (AHF) unit
en16931_uom_AS,AS,assortment
en16931_uom_ASM,ASM,alcoholic strength by mass
en16931_uom_ASU,ASU,alcoholic strength by volume
en16931_uom_ATM,ATM,standard atmosphere
en16931_uom_AWG,AWG,american wire gauge
en16931_uom_AY,AY,assembly
en16931_uom_AZ,AZ,British thermal unit (international table) per pound
en16931_uom_B1,B1,barrel (US) per day
en16931_uom_B10,B10,bit per second
en16931_uom_B11,B11,joule per kilogram kelvin
en16931_uom_B12,B12,joule per metre
en16931_uom_B13,B13,joule per square metre
en16931_uom_B14,B14,joule per metre to the fourth power
en16931_uom_B15,B15,joule per mole
en16931_uom_B16,B16,joule per mole kelvin
en16931_uom_B17,B17,credit
en16931_uom_B18,B18,joule second
en16931_uom_B19,B19,digit
en16931_uom_B20,B20,joule square metre per kilogram
en16931_uom_B21,B21,kelvin per watt
en16931_uom_B22,B22,kiloampere
en16931_uom_B23,B23,kiloampere per square metre
en16931_uom_B24,B24,kiloampere per metre
en16931_uom_B25,B25,kilobecquerel per kilogram
en16931_uom_B26,B26,kilocoulomb
en16931_uom_B27,B27,kilocoulomb per cubic metre
en16931_uom_B28,B28,kilocoulomb per square metre
en16931_uom_B29,B29,kiloelectronvolt
en16931_uom_B3,B3,batting pound
en16931_uom_B30,B30,gibibit
en16931_uom_B31,B31,kilogram metre per second
en16931_uom_B32,B32,kilogram metre squared
en16931_uom_B33,B33,kilogram metre squared per second
en16931_uom_B34,B34,kilogram per cubic decimetre
en16931_uom_B35,B35,kilogram per litre
en16931_uom_B4,B4,"barrel, imperial"
en16931_uom_B41,B41,kilojoule per kelvin
en16931_uom_B42,B42,kilojoule per kilogram
en16931_uom_B43,B43,kilojoule per kilogram kelvin
en16931_uom_B44,B44,kilojoule per mole
en16931_uom_B45,B45,kilomole
en16931_uom_B46,B46,kilomole per cubic metre
en16931_uom_B47,B47,kilonewton
en16931_uom_B48,B48,kilonewton metre
en16931_uom_B49,B49,kiloohm
en16931_uom_B50,B50,kiloohm metre
en16931_uom_B52,B52,kilosecond
en16931_uom_B53,B53,kilosiemens
en16931_uom_B54,B54,kilosiemens per metre
en16931_uom_B55,B55,kilovolt per metre
en16931_uom_B56,B56,kiloweber per metre
en16931_uom_B57,B57,light year
en16931_uom_B58,B58,litre per mole
en16931_uom_B59,B59,lumen hour
en16931_uom_B60,B60,lumen per square metre
en16931_uom_B61,B61,lumen per watt
en16931_uom_B62,B62,lumen second
en16931_uom_B63,B63,lux hour
en16931_uom_B64,B64,lux second
en16931_uom_B66,B66,megaampere per square metre
en16931_uom_B67,B67,megabecquerel per kilogram
en16931_uom_B68,B68,gigabit
en16931_uom_B69,B69,megacoulomb per cubic metre
en16931_uom_B7,B7,cycle
en16931_uom_B70,B70,megacoulomb per square metre
en16931_uom_B71,B71,megaelectronvolt
en16931_uom_B72,B72,megagram per cubic metre
en16931_uom_B73,B73,meganewton
en16931_uom_B74,B74,meganewton metre
en16931_uom_B75,B75,megaohm
en16931_uom_B76,B76,megaohm metre
en16931_uom_B77,B77,megasiemens per metre
en16931_uom_B78,B78,megavolt
en16931_uom_B79,B79,megavolt per metre
en16931_uom_B8,B8,joule per cubic metre
en16931_uom_B80,B80,gigabit per second
en16931_uom_B81,B81,reciprocal metre squared reciprocal second
en16931_uom_B82,B82,inch per linear foot
en16931_uom_B83,B83,metre to the fourth power
en16931_uom_B84,B84,microampere
en16931_uom_B85,B85,microbar
en16931_uom_B86,B86,microcoulomb
en16931_uom_B87,B87,microcoulomb per cubic metre
en16931_uom_B88,B88,microcoulomb per square metre
en16931_uom_B89,B89,microfarad per metre
en16931_uom_B90,B90,microhenry
en16931_uom_B91,B91,microhenry per metre
en16931_uom_B92,B92,micronewton
en16931_uom_B93,B93,micronewton metre
en16931_uom_B94,B94,microohm
en16931_uom_B95,B95,microohm metre
en16931_uom_B96,B96,micropascal
en16931_uom_B97,B97,microradian
en16931_uom_B98,B98,microsecond
en16931_uom_B99,B99,microsiemens
en16931_uom_BAR,BAR,bar [unit of pressure]
en16931_uom_BB,BB,base box
en16931_uom_BFT,BFT,board foot
en16931_uom_BHP,BHP,brake horse power
en16931_uom_BIL,BIL,billion (EUR)
en16931_uom_BLD,BLD,dry barrel (US)
en16931_uom_BLL,BLL,barrel (US)
en16931_uom_BP,BP,hundred board foot
en16931_uom_BPM,BPM,beats per minute
en16931_uom_BQL,BQL,becquerel
en16931_uom_BTU,BTU,British thermal unit (international table)
en16931_uom_BUA,BUA,bushel (US)
en16931_uom_BUI,BUI,bushel (UK)
en16931_uom_C0,C0,call
en16931_uom_C10,C10,millifarad
en16931_uom_C11,C11,milligal
en16931_uom_C12,C12,milligram per metre
en16931_uom_C13,C13,milligray
en16931_uom_C14,C14,millihenry
en16931_uom_C15,C15,millijoule
en16931_uom_C16,C16,millimetre per second
en16931_uom_C17,C17,millimetre squared per second
en16931_uom_C18,C18,millimole
en16931_uom_C19,C19,mole per kilogram
en16931_uom_C20,C20,millinewton
en16931_uom_C21,C21,kibibit
en16931_uom_C22,C22,millinewton per metre
en16931_uom_C23,C23,milliohm metre
en16931_uom_C24,C24,millipascal second
en16931_uom_C25,C25,milliradian
en16931_uom_C26,C26,millisecond
en16931_uom_C27,C27,millisiemens
en16931_uom_C28,C28,millisievert
en16931_uom_C29,C29,millitesla
en16931_uom_C3,C3,microvolt per metre
en16931_uom_C30,C30,millivolt per metre
en16931_uom_C31,C31,milliwatt
en16931_uom_C32,C32,milliwatt per square metre
en16931_uom_C33,C33,milliweber
en16931_uom_C34,C34,mole
en16931_uom_C35,C35,mole per cubic decimetre
en16931_uom_C36,C36,mole per cubic metre
en16931_uom_C37,C37,kilobit
en16931_uom_C38,C38,mole per litre
en16931_uom_C39,C39,nanoampere
en16931_uom_C40,C40,nanocoulomb
en16931_uom_C41,C41,nanofarad
en16931_uom_C42,C42,nanofarad per metre
en16931_uom_C43,C43,nanohenry
en16931_uom_C44,C44,nanohenry per metre
en16931_uom_C45,C45,nanometre
en16931_uom_C46,C46,nanoohm metre
en16931_uom_C47,C47,nanosecond
en16931_uom_C48,C48,nanotesla
en16931_uom_C49,C49,nanowatt
en16931_uom_C50,C50,neper
en16931_uom_C51,C51,neper per second
en16931_uom_C52,C52,picometre
en16931_uom_C53,C53,newton metre second
en16931_uom_C54,C54,newton metre squared per kilogram squared
en16931_uom_C55,C55,newton per square metre
en16931_uom_C56,C56,newton per square millimetre
en16931_uom_C57,C57,newton second
en16931_uom_C58,C58,newton second per metre
en16931_uom_C59,C59,octave
en16931_uom_C60,C60,ohm centimetre
en16931_uom_C61,C61,ohm metre
en16931_uom_C62,C62,one
en16931_uom_C63,C63,parsec
en16931_uom_C64,C64,pascal per kelvin
en16931_uom_C65,C65,pascal second
en16931_uom_C66,C66,pascal second per cubic metre
en16931_uom_C67,C67,pascal second per metre
en16931_uom_C68,C68,petajoule
en16931_uom_C69,C69,phon
en16931_uom_C7,C7,centipoise
en16931_uom_C70,C70,picoampere
en16931_uom_C71,C71,picocoulomb
en16931_uom_C72,C72,picofarad per metre
en16931_uom_C73,C73,picohenry
en16931_uom_C74,C74,kilobit per second
en16931_uom_C75,C75,picowatt
en16931_uom_C76,C76,picowatt per square metre
en16931_uom_C78,C78,pound-force
en16931_uom_C79,C79,kilovolt ampere hour
en16931_uom_C8,C8,millicoulomb per kilogram
en16931_uom_C80,C80,rad
en16931_uom_C81,C81,radian
en16931_uom_C82,C82,radian square metre per mole
en16931_uom_C83,C83,radian square metre per kilogram
en16931_uom_C84,C84,radian per metre
en16931_uom_C85,C85,reciprocal angstrom
en16931_uom_C86,C86,reciprocal cubic metre
en16931_uom_C87,C87,reciprocal cubic metre per second
en16931_uom_C88,C88,reciprocal electron volt per cubic metre
en16931_uom_C89,C89,reciprocal henry
en16931_uom_C9,C9,coil group
en16931_uom_C90,C90,reciprocal joule per cubic metre
en16931_uom_C91,C91,reciprocal kelvin or kelvin to the power minus one
en16931_uom_C92,C92,reciprocal metre
en16931_uom_C93,C93,reciprocal square metre
en16931_uom_C94,C94,reciprocal minute
en16931_uom_C95,C95,reciprocal mole
en16931_uom_C96,C96,reciprocal pascal or pascal to the power minus one
en16931_uom_C97,C97,reciprocal second
en16931_uom_C99,C99,reciprocal second per metre squared
en16931_uom_CCT,CCT,carrying capacity in metric ton
en16931_uom_CDL,CDL,candela
en16931_uom_CEL,CEL,degree Celsius
en16931_uom_CEN,CEN,hundred
en16931_uom_CG,CG,card
en16931_uom_CGM,CGM,centigram
en16931_uom_CKG,CKG,coulomb per kilogram
en16931_uom_CLF,CLF,hundred leave
en16931_uom_CLT,CLT,centilitre
en16931_uom_CMK,CMK,square centimetre
en16931_uom_CMQ,CMQ,cubic centimetre
en16931_uom_CMT,CMT,centimetre
en16931_uom_CNP,CNP,hundred pack
en16931_uom_CNT,CNT,cental (UK)
en16931_uom_COU,COU,coulomb
en16931_uom_CTG,CTG,content gram
en16931_uom_CTM,CTM,metric carat
en16931_uom_CTN,CTN,content ton (metric)
en16931_uom_CUR,CUR,curie
en16931_uom_CWA,CWA,hundred pound (cwt) / hundred weight (US)
en16931_uom_CWI,CWI,hundred weight (UK)
en16931_uom_D03,D03,kilowatt hour per hour
en16931_uom_D04,D04,lot  [unit of weight]
en16931_uom_D1,D1,reciprocal second per steradian
en16931_uom_D10,D10,siemens per metre
en16931_uom_D11,D11,mebibit
en16931_uom_D12,D12,siemens square metre per mole
en16931_uom_D13,D13,sievert
en16931_uom_D15,D15,sone
en16931_uom_D16,D16,square centimetre per erg
en16931_uom_D17,D17,square centimetre per steradian erg
en16931_uom_D18,D18,metre kelvin
en16931_uom_D19,D19,square metre kelvin per watt
en16931_uom_D2,D2,reciprocal second per steradian metre squared
en16931_uom_D20,D20,square metre per joule
en16931_uom_D21,D21,square metre per kilogram
en16931_uom_D22,D22,square metre per mole
en16931_uom_D23,D23,pen gram (protein)
en16931_uom_D24,D24,square metre per steradian
en16931_uom_D25,D25,square metre per steradian joule
en16931_uom_D26,D26,square metre per volt second
en16931_uom_D27,D27,steradian
en16931_uom_D29,D29,terahertz
en16931_uom_D30,D30,terajoule
en16931_uom_D31,D31,terawatt
en16931_uom_D32,D32,terawatt hour
en16931_uom_D33,D33,tesla
en16931_uom_D34,D34,tex
en16931_uom_D36,D36,megabit
en16931_uom_D41,D41,tonne per cubic metre
en16931_uom_D42,D42,tropical year
en16931_uom_D43,D43,unified atomic mass unit
en16931_uom_D44,D44,var
en16931_uom_D45,D45,volt squared per kelvin squared
en16931_uom_D46,D46,volt - ampere
en16931_uom_D47,D47,volt per centimetre
en16931_uom_D48,D48,volt per kelvin
en16931_uom_D49,D49,millivolt per kelvin
en16931_uom_D5,D5,kilogram per square centimetre
en16931_uom_D50,D50,volt per metre
en16931_uom_D51,D51,volt per millimetre
en16931_uom_D52,D52,watt per kelvin
en16931_uom_D53,D53,watt per metre kelvin
en16931_uom_D54,D54,watt per square metre
en16931_uom_D55,D55,watt per square metre kelvin
en16931_uom_D56,D56,watt per square metre kelvin to the fourth power
en16931_uom_D57,D57,watt per steradian
en16931_uom_D58,D58,watt per steradian square metre
en16931_uom_D59,D59,weber per metre
en16931_uom_D6,D6,roentgen per second
en16931_uom_D60,D60,weber per millimetre
en16931_uom_D61,D61,minute [unit of angle]
en16931_uom_D62,D62,second [unit of angle]
en16931_uom_D63,D63,book
en16931_uom_D65,D65,round
en16931_uom_D68,D68,number of words
en16931_uom_D69,D69,inch to the fourth power
en16931_uom_D73,D73,joule square metre
en16931_uom_D74,D74,kilogram per mole
en16931_uom_D77,D77,megacoulomb
en16931_uom_D78,D78,megajoule per second
en16931_uom_D80,D80,microwatt
en16931_uom_D81,D81,microtesla
en16931_uom_D82,D82,microvolt
en16931_uom_D83,D83,millinewton metre
en16931_uom_D85,D85,microwatt per square metre
en16931_uom_D86,D86,millicoulomb
en16931_uom_D87,D87,millimole per kilogram
en16931_uom_D88,D88,millicoulomb per cubic metre
en16931_uom_D89,D89,millicoulomb per square metre
en16931_uom_D91,D91,rem
en16931_uom_D93,D93,second per cubic metre
en16931_uom_D94,D94,second per cubic metre radian
en16931_uom_D95,D95,joule per gram
en16931_uom_DAA,DAA,decare
en16931_uom_DAD,DAD,ten day
en16931_uom_DAY,DAY,day
en16931_uom_DB,DB,dry pound
